bowlerName,overs,maidens,runs,wickets,economy,dots,fours,sixes,wides,no_balls,bowler_link,match_id
Mitchell Marsh,4,0,48,0,12.00,8,6,2,2,1,https://www.espncricinfo.com/cricketers/mitchell-marsh-272450,scorecard
Adam Zampa,10,0,32,2,3.20,39,2,1,0,0,https://www.espncricinfo.com/cricketers/adam-zampa-379504,scorecard
Travis Head,6,0,33,0,5.50,14,2,1,0,0,https://www.espncricinfo.com/cricketers/travis-head-530011,scorecard
Marcus Stoinis,5,0,45,1,9.00,4,4,0,2,0,https://www.espncricinfo.com/cricketers/marcus-stoinis-325012,scorecard
Taskin Ahmed,10,0,61,1,6.10,30,6,2,1,0,https://www.espncricinfo.com/cricketers/taskin-ahmed-538506,scorecard
Mahedi Hasan,9,0,38,0,4.22,29,3,0,1,0,https://www.espncricinfo.com/cricketers/mahedi-hasan-833087,scorecard
Nasum Ahmed,10,0,85,0,8.50,21,9,3,1,0,https://www.espncricinfo.com/cricketers/nasum-ahmed-348049,scorecard
Mehidy Hasan Miraz,6,0,47,0,7.83,13,3,3,0,0,https://www.espncricinfo.com/cricketers/mehidy-hasan-miraz-629063,scorecard
Mustafizur Rahman,9.4,1,76,1,7.86,20,8,2,1,0,https://www.espncricinfo.com/cricketers/mustafizur-rahman-330902,scorecard
Kagiso Rabada,10,0,40,0,4.00,37,4,1,0,0,https://www.espncricinfo.com/cricketers/kagiso-rabada-550215,scorecard
Lungi Ngidi,8.3,0,69,2,8.11,28,5,4,6,0,https://www.espncricinfo.com/cricketers/lungi-ngidi-542023,scorecard
Aiden Markram,4.3,0,25,0,5.55,13,2,1,0,0,https://www.espncricinfo.com/cricketers/aiden-markram-600498,scorecard
Gerald Coetzee,10,1,44,4,4.40,35,5,0,2,0,https://www.espncricinfo.com/cricketers/gerald-coetzee-596010,scorecard
Keshav Maharaj,10,1,25,2,2.50,41,0,0,2,0,https://www.espncricinfo.com/cricketers/keshav-maharaj-267724,scorecard
Andile Phehlukwayo,7,0,36,1,5.14,20,4,0,0,0,https://www.espncricinfo.com/cricketers/andile-phehlukwayo-540316,scorecard
