bowlerName,overs,maidens,runs,wickets,economy,dots,fours,sixes,wides,no_balls,bowler_link,inningbowled,avg_bowling_economy,bowling SR,avg_bowling_strike,bowling_avg,average_bowling_avg,dot_ball_percentage,average_dot_ball_%
Azmatullah Omarzai,3.0,0,11,0,3.66,10,1,0,0,0,https://www.espncricinfo.com/cricketers/azmatullah-omarzai-819429,9,6.87,0.0,25.2,0.0,30.0,55.56,48.66
Azmatullah Omarzai,7.0,0,56,2,8.0,17,4,3,0,1,https://www.espncricinfo.com/cricketers/azmatullah-omarzai-819429,9,6.87,21.0,25.2,28.0,30.0,40.48,48.66
Azmatullah Omarzai,2.0,0,9,1,4.5,7,1,0,0,0,https://www.espncricinfo.com/cricketers/azmatullah-omarzai-819429,9,6.87,12.0,25.2,9.0,30.0,58.33,48.66
Bas de Leede,8.0,0,36,2,4.5,28,3,0,4,0,https://www.espncricinfo.com/cricketers/bas-de-leede-1036191,8,7.26,24.0,28.36,18.0,33.31,58.33,46.17
Bas de Leede,10.0,0,115,2,11.5,20,13,6,1,1,https://www.espncricinfo.com/cricketers/bas-de-leede-1036191,8,7.26,30.0,28.36,57.5,33.31,33.33,46.17
Bas de Leede,3.0,0,29,0,9.66,7,4,0,2,0,https://www.espncricinfo.com/cricketers/bas-de-leede-1036191,8,7.26,0.0,28.36,0.0,33.31,38.89,46.17
Bas de Leede,10.0,0,74,3,7.4,26,5,4,0,0,https://www.espncricinfo.com/cricketers/bas-de-leede-1036191,8,7.26,20.0,28.36,24.67,33.31,43.33,46.17
Bas de Leede,7.0,0,25,2,3.57,30,4,0,0,0,https://www.espncricinfo.com/cricketers/bas-de-leede-1036191,8,7.26,21.0,28.36,12.5,33.31,71.43,46.17
Bas de Leede,9.0,0,62,4,6.88,22,9,0,3,0,https://www.espncricinfo.com/cricketers/bas-de-leede-1036191,8,7.26,13.5,28.36,15.5,33.31,40.74,46.17
Bas de Leede,10.0,0,64,1,6.4,28,6,2,0,1,https://www.espncricinfo.com/cricketers/bas-de-leede-1036191,8,7.26,60.0,28.36,64.0,33.31,46.67,46.17
Bas de Leede,10.0,0,82,2,8.2,22,8,2,8,0,https://www.espncricinfo.com/cricketers/bas-de-leede-1036191,8,7.26,30.0,28.36,41.0,33.31,36.67,46.17
Cameron Green,2.0,0,11,0,5.5,7,2,0,0,0,https://www.espncricinfo.com/cricketers/cameron-green-1076713,1,5.5,0.0,0.0,0.0,0.0,58.33,58.33
Chamika Karunaratne,9.0,1,58,0,6.44,25,1,2,6,0,https://www.espncricinfo.com/cricketers/chamika-karunaratne-623695,2,5.72,0.0,0.0,0.0,0.0,46.3,48.15
Chamika Karunaratne,3.0,0,15,0,5.0,9,1,0,2,0,https://www.espncricinfo.com/cricketers/chamika-karunaratne-623695,2,5.72,0.0,0.0,0.0,0.0,50.0,48.15
Charith Asalanka,1.0,0,10,0,10.0,1,1,0,0,0,https://www.espncricinfo.com/cricketers/charith-asalanka-784367,1,10.0,0.0,0.0,0.0,0.0,16.67,16.67
Chris Woakes,6.0,0,30,0,5.0,21,4,0,2,0,https://www.espncricinfo.com/cricketers/chris-woakes-247235,8,5.73,0.0,27.75,0.0,20.1,58.33,60.31
Chris Woakes,6.0,0,45,0,7.5,18,7,1,0,0,https://www.espncricinfo.com/cricketers/chris-woakes-247235,8,5.73,0.0,27.75,0.0,20.1,50.0,60.31
Chris Woakes,9.3,0,54,4,5.68,31,5,1,0,0,https://www.espncricinfo.com/cricketers/chris-woakes-247235,8,5.73,13.95,27.75,13.5,20.1,55.56,60.31
Chris Woakes,7.0,0,19,1,2.71,33,2,0,2,0,https://www.espncricinfo.com/cricketers/chris-woakes-247235,8,5.73,42.0,27.75,19.0,20.1,78.57,60.31
Chris Woakes,5.3,0,27,1,4.9,22,5,0,0,0,https://www.espncricinfo.com/cricketers/chris-woakes-247235,8,5.73,31.8,27.75,27.0,20.1,69.18,60.31
Chris Woakes,9.0,1,33,2,3.66,36,3,0,1,0,https://www.espncricinfo.com/cricketers/chris-woakes-247235,8,5.73,27.0,27.75,16.5,20.1,66.67,60.31
Chris Woakes,8.0,0,49,2,6.12,24,6,0,0,0,https://www.espncricinfo.com/cricketers/chris-woakes-247235,8,5.73,24.0,27.75,24.5,20.1,50.0,60.31
Chris Woakes,4.0,0,41,0,10.25,13,4,2,2,0,https://www.espncricinfo.com/cricketers/chris-woakes-247235,8,5.73,0.0,27.75,0.0,20.1,54.17,60.31
Colin Ackermann,8.2,0,39,1,4.68,25,3,0,0,0,https://www.espncricinfo.com/cricketers/colin-ackermann-379774,9,5.22,49.2,33.3,39.0,24.88,50.81,48.15
Colin Ackermann,3.0,0,16,1,5.33,13,2,1,0,0,https://www.espncricinfo.com/cricketers/colin-ackermann-379774,9,5.22,18.0,33.3,16.0,24.88,72.22,48.15
Colin Ackermann,7.0,1,25,1,3.57,29,2,1,0,0,https://www.espncricinfo.com/cricketers/colin-ackermann-379774,9,5.22,42.0,33.3,25.0,24.88,69.05,48.15
