batsmanName,runs,balls,minutes,4s,6s,SR,player_link,match_id
Moeen Ali,11,17,20,1,0,64.70,https://www.espncricinfo.com/cricketers/moeen-ali-8917,scorecard
Jos Buttler (c)†,43,42,48,2,2,102.38,https://www.espncricinfo.com/cricketers/jos-buttler-308967,scorecard
Liam Livingstone,20,22,23,3,0,90.90,https://www.espncricinfo.com/cricketers/liam-livingstone-403902,scorecard
Sam Curran,14,19,30,0,0,73.68,https://www.espncricinfo.com/cricketers/sam-curran-662973,scorecard
Chris Woakes,11,12,15,1,0,91.66,https://www.espncricinfo.com/cricketers/chris-woakes-247235,scorecard
Adil Rashid,15,13,23,0,1,115.38,https://www.espncricinfo.com/cricketers/adil-rashid-244497,scorecard
Mark Wood,13,14,19,0,0,92.85,https://www.espncricinfo.com/cricketers/mark-wood-351588,scorecard
Devon Conway,152,121,147,19,3,125.61,https://www.espncricinfo.com/cricketers/devon-conway-379140,scorecard
Will Young,0,1,5,0,0,0.00,https://www.espncricinfo.com/cricketers/will-young-547749,scorecard
Rachin Ravindra,123,96,141,11,5,128.12,https://www.espncricinfo.com/cricketers/rachin-ravindra-959767,scorecard
