bowlerName,inningbowled,avg_bowling_economy,avg_bowling_strike,average_bowling_avg,average_dot_ball_%
Moises Henriques,5,5.6,7.0,4.5,50.83
Mujeeb Ur Rahman,1,7.25,12.0,14.5,41.67
Murugan Ashwin,3,8.97,18.0,32.0,28.7
Mustafizur Rahman,14,8.56,15.76,21.8,37.46
Nathan Coulter-Nile,5,6.35,14.0,14.17,44.17
Nathan Ellis,3,7.83,18.0,12.0,37.96
Navdeep Saini,2,13.0,0.0,0.0,20.83
Nitish Rana,2,6.0,0.0,0.0,41.67
Pat Cummins,7,8.89,15.4,19.9,37.84
Piyush Chawla,1,9.5,24.0,38.0,12.5
Prasidh Krishna,10,9.07,18.25,25.88,44.49
Rahul Chahar,11,7.48,17.43,19.65,35.98
Rahul Tewatia,13,9.36,15.33,21.67,22.33
Rashid Khan,14,6.7,20.0,22.15,38.69
Ravi Bishnoi,9,6.39,13.33,12.58,40.28
Ravichandran Ashwin,13,7.65,21.75,27.58,33.03
Ravindra Jadeja,16,7.57,15.25,17.23,34.03
Riley Meredith,5,10.24,19.2,37.0,38.94
Ripal Patel,1,7.33,0.0,0.0,27.78
Riyan Parag,6,14.17,6.0,7.0,15.28
Rohit Sharma,2,16.5,0.0,0.0,0.0
Sam Curran,9,9.89,18.33,26.39,37.96
Sandeep Sharma,7,8.67,22.0,33.33,36.92
Sandeep Warrier,1,7.5,0.0,0.0,50.0
Shahbaz Ahmed,6,7.15,10.0,11.83,22.45
Shahbaz Nadeem,1,9.0,24.0,36.0,37.5
Shakib Al Hasan,8,7.03,19.5,19.5,35.94
Shardul Thakur,16,8.94,15.52,20.62,38.41
Shivam Dube,4,10.0,0.0,0.0,27.08
Shivam Mavi,9,8.71,19.52,20.25,43.47
Shreyas Gopal,3,11.33,0.0,0.0,27.78
Siddarth Kaul,8,8.22,17.76,20.3,40.98
Sunil Narine,14,6.45,15.25,17.49,38.99
T Natarajan,2,8.62,24.0,34.5,29.17
Tabraiz Shamsi,1,8.5,0.0,0.0,8.33
Tim Southee,3,7.92,18.0,21.0,31.94
Tom Curran,3,9.15,15.4,24.83,29.33
Trent Boult,14,8.15,19.42,25.15,44.98
Umran Malik,3,8.0,24.0,34.5,43.06
Varun Chakravarthy,17,6.59,17.09,17.44,36.52
Venkatesh Iyer,4,7.31,12.9,22.25,28.62
Vijay Shankar,5,9.33,13.5,25.75,31.11
Wanindu Hasaranga,2,10.0,0.0,0.0,31.25
Washington Sundar,6,7.24,16.0,21.0,37.04
Yuzvendra Chahal,15,7.22,16.18,19.58,40.19
