bowlerName,overs,maidens,runs,wickets,economy,dots,fours,sixes,wides,no_balls,bowler_link,match_id
Glenn Phillips,1,0,17,1,17.00,1,2,1,1,0,https://www.espncricinfo.com/cricketers/glenn-phillips-823509,scorecard
Shakib Al Hasan,1,0,1,1,1.00,5,0,0,0,0,https://www.espncricinfo.com/cricketers/shakib-al-hasan-56143,scorecard
Shivam Mavi,3.1,0,21,4,6.63,10,3,0,0,0,https://www.espncricinfo.com/cricketers/shivam-mavi-1079848,scorecard
Sunil Narine,4,0,30,0,7.50,12,1,3,0,0,https://www.espncricinfo.com/cricketers/sunil-narine-230558,scorecard
Lockie Ferguson,4,0,18,3,4.50,17,3,0,0,0,https://www.espncricinfo.com/cricketers/lockie-ferguson-493773,scorecard
Varun Chakravarthy,4,0,14,1,3.50,16,0,1,0,0,https://www.espncricinfo.com/cricketers/varun-chakravarthy-1108375,scorecard
Mohammed Shami,4,0,22,1,5.50,14,2,1,1,0,https://www.espncricinfo.com/cricketers/mohammed-shami-481896,scorecard
Harpreet Brar,4,0,22,0,5.50,12,2,0,2,0,https://www.espncricinfo.com/cricketers/harpreet-brar-1168641,scorecard
Arshdeep Singh,4,0,35,2,8.75,6,3,1,1,0,https://www.espncricinfo.com/cricketers/arshdeep-singh-1125976,scorecard
Chris Jordan,3,0,20,2,6.66,6,2,0,1,0,https://www.espncricinfo.com/cricketers/chris-jordan-288992,scorecard
Ravi Bishnoi,4,0,25,1,6.25,10,3,0,1,0,https://www.espncricinfo.com/cricketers/ravi-bishnoi-1175441,scorecard
Moises Henriques,1,0,9,0,9.00,1,1,0,1,0,https://www.espncricinfo.com/cricketers/moises-henriques-5961,scorecard
Deepak Chahar,4,0,48,1,12.00,5,3,3,3,0,https://www.espncricinfo.com/cricketers/deepak-chahar-447261,scorecard
Josh Hazlewood,3,0,22,0,7.33,10,3,1,0,0,https://www.espncricinfo.com/cricketers/josh-hazlewood-288284,scorecard
Shardul Thakur,3,0,28,3,9.33,10,3,2,0,0,https://www.espncricinfo.com/cricketers/shardul-thakur-475281,scorecard
Ravindra Jadeja,1,0,9,0,9.00,2,0,1,0,0,https://www.espncricinfo.com/cricketers/ravindra-jadeja-234675,scorecard
Dwayne Bravo,2,0,32,0,16.00,0,0,3,2,0,https://www.espncricinfo.com/cricketers/dwayne-bravo-51439,scorecard
Mohammed Siraj,3,0,17,0,5.66,11,3,0,1,0,https://www.espncricinfo.com/cricketers/mohammed-siraj-940973,scorecard
George Garton,2,0,29,1,14.50,3,4,1,2,0,https://www.espncricinfo.com/cricketers/george-garton-643433,scorecard
Shahbaz Ahmed,4,0,21,0,5.25,7,1,0,0,0,https://www.espncricinfo.com/cricketers/shahbaz-ahmed-1159711,scorecard
Harshal Patel,4,0,33,3,8.25,8,4,0,0,1,https://www.espncricinfo.com/cricketers/harshal-patel-390481,scorecard
Yuzvendra Chahal,4,0,27,1,6.75,9,1,1,0,0,https://www.espncricinfo.com/cricketers/yuzvendra-chahal-430246,scorecard
Dan Christian,3,0,14,2,4.66,8,1,0,0,0,https://www.espncricinfo.com/cricketers/dan-christian-4864,scorecard
Bhuvneshwar Kumar,4,0,25,1,6.25,11,2,1,0,0,https://www.espncricinfo.com/cricketers/bhuvneshwar-kumar-326016,scorecard
Jason Holder,4,0,27,1,6.75,11,3,0,2,0,https://www.espncricinfo.com/cricketers/jason-holder-391485,scorecard
Siddarth Kaul,4,1,24,1,6.00,12,2,1,0,0,https://www.espncricinfo.com/cricketers/siddarth-kaul-326017,scorecard
Umran Malik,4,0,21,1,5.25,11,2,0,0,0,https://www.espncricinfo.com/cricketers/umran-malik-1246528,scorecard
Rashid Khan,4,0,39,1,9.75,7,3,2,0,0,https://www.espncricinfo.com/cricketers/rashid-khan-793463,scorecard
Trent Boult,4,0,24,0,6.00,10,1,1,2,0,https://www.espncricinfo.com/cricketers/trent-boult-277912,scorecard
Jayant Yadav,2,0,17,0,8.50,6,2,1,0,0,https://www.espncricinfo.com/cricketers/jayant-yadav-447587,scorecard
Jasprit Bumrah,4,0,14,2,3.50,18,2,0,0,1,https://www.espncricinfo.com/cricketers/jasprit-bumrah-625383,scorecard
Nathan Coulter-Nile,4,0,14,4,3.50,16,2,0,0,0,https://www.espncricinfo.com/cricketers/nathan-coulter-nile-261354,scorecard
James Neesham,4,0,12,3,3.00,13,0,0,0,0,https://www.espncricinfo.com/cricketers/james-neesham-355269,scorecard
Kieron Pollard,2,0,9,0,4.50,3,0,0,0,0,https://www.espncricinfo.com/cricketers/kieron-pollard-230559,scorecard
Mustafizur Rahman,2.2,0,32,1,13.71,6,3,2,1,0,https://www.espncricinfo.com/cricketers/mustafizur-rahman-330902,scorecard
Chetan Sakariya,3,1,36,1,12.00,9,3,2,0,2,https://www.espncricinfo.com/cricketers/chetan-sakariya-1131754,scorecard
Shreyas Gopal,1,0,9,0,9.00,2,0,1,0,0,https://www.espncricinfo.com/cricketers/shreyas-gopal-344580,scorecard
Kuldip Yadav,2,0,16,0,8.00,5,3,0,0,0,https://www.espncricinfo.com/cricketers/kuldip-yadav-1206495,scorecard
Anrich Nortje,4,0,37,1,9.25,8,2,1,2,0,https://www.espncricinfo.com/cricketers/anrich-nortje-481979,scorecard
Avesh Khan,4,0,35,1,8.75,12,5,1,2,0,https://www.espncricinfo.com/cricketers/avesh-khan-694211,scorecard
Axar Patel,4,0,18,2,4.50,6,0,0,0,0,https://www.espncricinfo.com/cricketers/axar-patel-554691,scorecard
Kagiso Rabada,4,0,21,0,5.25,12,3,0,0,0,https://www.espncricinfo.com/cricketers/kagiso-rabada-550215,scorecard
Ravichandran Ashwin,4,0,20,1,5.00,8,0,0,2,0,https://www.espncricinfo.com/cricketers/ravichandran-ashwin-26421,scorecard
Deepak Chahar,3,0,34,1,11.33,9,4,2,2,0,https://www.espncricinfo.com/cricketers/deepak-chahar-447261,scorecard
Josh Hazlewood,4,0,27,1,6.75,10,2,1,0,0,https://www.espncricinfo.com/cricketers/josh-hazlewood-288284,scorecard
Ravindra Jadeja,4,0,28,2,7.00,10,3,0,1,0,https://www.espncricinfo.com/cricketers/ravindra-jadeja-234675,scorecard
Moeen Ali,3,0,16,0,5.33,8,0,1,0,0,https://www.espncricinfo.com/cricketers/moeen-ali-8917,scorecard
Shardul Thakur,4,0,13,2,3.25,12,0,0,0,0,https://www.espncricinfo.com/cricketers/shardul-thakur-475281,scorecard
Dwayne Bravo,1.4,0,20,1,12.00,4,3,0,3,0,https://www.espncricinfo.com/cricketers/dwayne-bravo-51439,scorecard
Tim Southee,4,0,26,2,6.50,9,3,0,0,0,https://www.espncricinfo.com/cricketers/tim-southee-232364,scorecard
Shivam Mavi,4,0,29,2,7.25,12,5,0,0,1,https://www.espncricinfo.com/cricketers/shivam-mavi-1079848,scorecard
Varun Chakravarthy,4,0,26,2,6.50,13,0,3,0,0,https://www.espncricinfo.com/cricketers/varun-chakravarthy-1108375,scorecard
Shakib Al Hasan,4,0,20,1,5.00,10,0,1,0,0,https://www.espncricinfo.com/cricketers/shakib-al-hasan-56143,scorecard
