batsmanName,runs,balls,minutes,4s,6s,SR,player_link,inning_batted,Average_SR,boundaries,boundary_runs,boundary_percentage,Average_Boundary_Percentage,total_runs,batting_average
David Warner (c),47,33,-,5,0,142.42,https://www.espncricinfo.com/cricketers/david-warner-219889,16,124.971875,5,20,42.5531914893617,52.0360333849852,548,34.25
David Warner (c),2,3,-,0,0,66.66,https://www.espncricinfo.com/cricketers/david-warner-219889,16,124.971875,0,0,0.0,52.0360333849852,548,34.25
David Warner (c),28,29,-,3,0,96.55,https://www.espncricinfo.com/cricketers/david-warner-219889,16,124.971875,3,12,42.857142857142854,52.0360333849852,548,34.25
David Warner (c),8,5,-,0,1,160.0,https://www.espncricinfo.com/cricketers/david-warner-219889,16,124.971875,1,6,75.0,52.0360333849852,548,34.25
David Warner (c),6,6,-,1,0,100.0,https://www.espncricinfo.com/cricketers/david-warner-219889,16,124.971875,1,4,66.66666666666666,52.0360333849852,548,34.25
David Warner (c),85,58,-,10,1,146.55,https://www.espncricinfo.com/cricketers/david-warner-219889,16,124.971875,11,46,54.11764705882353,52.0360333849852,548,34.25
David Warner (c),17,17,-,3,0,100.0,https://www.espncricinfo.com/cricketers/david-warner-219889,16,124.971875,3,12,70.58823529411765,52.0360333849852,548,34.25
David Warner (c),36,30,-,2,1,120.0,https://www.espncricinfo.com/cricketers/david-warner-219889,16,124.971875,3,14,38.88888888888889,52.0360333849852,548,34.25
David Warner (c),60,44,-,5,2,136.36,https://www.espncricinfo.com/cricketers/david-warner-219889,16,124.971875,7,32,53.333333333333336,52.0360333849852,548,34.25
David Warner (c),4,4,-,1,0,100.0,https://www.espncricinfo.com/cricketers/david-warner-219889,16,124.971875,1,4,100.0,52.0360333849852,548,34.25
David Warner (c),48,38,-,3,2,126.31,https://www.espncricinfo.com/cricketers/david-warner-219889,16,124.971875,5,24,50.0,52.0360333849852,548,34.25
David Warner (c),66,34,-,8,2,194.11,https://www.espncricinfo.com/cricketers/david-warner-219889,16,124.971875,10,44,66.66666666666666,52.0360333849852,548,34.25
David Warner (c),35,20,-,3,2,175.0,https://www.espncricinfo.com/cricketers/david-warner-219889,16,124.971875,5,24,68.57142857142857,52.0360333849852,548,34.25
David Warner (c),52,40,-,5,1,130.0,https://www.espncricinfo.com/cricketers/david-warner-219889,16,124.971875,6,26,50.0,52.0360333849852,548,34.25
David Warner (c),9,13,-,0,0,69.23,https://www.espncricinfo.com/cricketers/david-warner-219889,16,124.971875,0,0,0.0,52.0360333849852,548,34.25
Deepak Chahar,2,2,-,0,0,100.0,https://www.espncricinfo.com/cricketers/deepak-chahar-447261,3,66.66666666666667,0,0,0.0,0.0,7,2.3333333333333335
Deepak Chahar,0,5,-,0,0,0.0,https://www.espncricinfo.com/cricketers/deepak-chahar-447261,3,66.66666666666667,0,0,,0.0,7,2.3333333333333335
Deepak Chahar,5,5,-,0,0,100.0,https://www.espncricinfo.com/cricketers/deepak-chahar-447261,3,66.66666666666667,0,0,0.0,0.0,7,2.3333333333333335
Deepak Hooda,15,22,-,1,0,68.18,https://www.espncricinfo.com/cricketers/deepak-hooda-497121,5,103.718,1,4,26.666666666666668,32.05236091631604,101,20.2
Deepak Hooda,62,30,-,3,4,206.66,https://www.espncricinfo.com/cricketers/deepak-hooda-497121,5,103.718,7,36,58.06451612903226,32.05236091631604,101,20.2
Deepak Hooda,1,1,-,0,0,100.0,https://www.espncricinfo.com/cricketers/deepak-hooda-497121,5,103.718,0,0,0.0,32.05236091631604,101,20.2
Deepak Hooda,0,2,-,0,0,0.0,https://www.espncricinfo.com/cricketers/deepak-hooda-497121,5,103.718,0,0,,32.05236091631604,101,20.2
Deepak Hooda,23,16,-,1,1,143.75,https://www.espncricinfo.com/cricketers/deepak-hooda-497121,5,103.718,2,10,43.47826086956522,32.05236091631604,101,20.2
Devdutt Padikkal,4,6,-,0,0,66.66,https://www.espncricinfo.com/cricketers/devdutt-padikkal-1119026,15,108.20800000000001,0,0,0.0,43.881162764496096,473,31.533333333333335
Devdutt Padikkal,63,45,-,6,1,140.0,https://www.espncricinfo.com/cricketers/devdutt-padikkal-1119026,15,108.20800000000001,7,30,47.61904761904761,43.881162764496096,473,31.533333333333335
Devdutt Padikkal,74,45,-,12,1,164.44,https://www.espncricinfo.com/cricketers/devdutt-padikkal-1119026,15,108.20800000000001,13,54,72.97297297297297,43.881162764496096,473,31.533333333333335
Devdutt Padikkal,35,37,-,2,0,94.59,https://www.espncricinfo.com/cricketers/devdutt-padikkal-1119026,15,108.20800000000001,2,8,22.857142857142858,43.881162764496096,473,31.533333333333335
Devdutt Padikkal,5,8,-,1,0,62.5,https://www.espncricinfo.com/cricketers/devdutt-padikkal-1119026,15,108.20800000000001,1,4,80.0,43.881162764496096,473,31.533333333333335
Devdutt Padikkal,54,40,-,5,2,135.0,https://www.espncricinfo.com/cricketers/devdutt-padikkal-1119026,15,108.20800000000001,7,32,59.25925925925925,43.881162764496096,473,31.533333333333335
Devdutt Padikkal,18,12,-,1,1,150.0,https://www.espncricinfo.com/cricketers/devdutt-padikkal-1119026,15,108.20800000000001,2,10,55.55555555555556,43.881162764496096,473,31.533333333333335
Devdutt Padikkal,1,6,-,0,0,16.66,https://www.espncricinfo.com/cricketers/devdutt-padikkal-1119026,15,108.20800000000001,0,0,0.0,43.881162764496096,473,31.533333333333335
Devdutt Padikkal,56,42,-,8,0,133.33,https://www.espncricinfo.com/cricketers/devdutt-padikkal-1119026,15,108.20800000000001,8,32,57.14285714285714,43.881162764496096,473,31.533333333333335
Devdutt Padikkal,32,23,-,4,1,139.13,https://www.espncricinfo.com/cricketers/devdutt-padikkal-1119026,15,108.20800000000001,5,22,68.75,43.881162764496096,473,31.533333333333335
Devdutt Padikkal,33,34,-,2,1,97.05,https://www.espncricinfo.com/cricketers/devdutt-padikkal-1119026,15,108.20800000000001,3,14,42.42424242424242,43.881162764496096,473,31.533333333333335
Devdutt Padikkal,50,41,-,5,0,121.95,https://www.espncricinfo.com/cricketers/devdutt-padikkal-1119026,15,108.20800000000001,5,20,40.0,43.881162764496096,473,31.533333333333335
Devdutt Padikkal,25,17,-,3,0,147.05,https://www.espncricinfo.com/cricketers/devdutt-padikkal-1119026,15,108.20800000000001,3,12,48.0,43.881162764496096,473,31.533333333333335
Devdutt Padikkal,22,21,-,2,1,104.76,https://www.espncricinfo.com/cricketers/devdutt-padikkal-1119026,15,108.20800000000001,3,14,63.63636363636363,43.881162764496096,473,31.533333333333335
Devdutt Padikkal,1,2,-,0,0,50.0,https://www.espncricinfo.com/cricketers/devdutt-padikkal-1119026,15,108.20800000000001,0,0,0.0,43.881162764496096,473,31.533333333333335
Dhawal Kulkarni,3,2,-,0,0,150.0,https://www.espncricinfo.com/cricketers/dhawal-kulkarni-277955,1,150.0,0,0,0.0,0.0,3,3.0
Dinesh Karthik (c)†,30,23,-,5,0,130.43,https://www.espncricinfo.com/cricketers/dinesh-karthik-30045,7,85.40714285714286,5,20,66.66666666666666,29.310344827586203,108,15.428571428571429
Dinesh Karthik (c)†,1,2,-,0,0,50.0,https://www.espncricinfo.com/cricketers/dinesh-karthik-30045,7,85.40714285714286,0,0,0.0,29.310344827586203,108,15.428571428571429
Dinesh Karthik (c)†,1,3,-,0,0,33.33,https://www.espncricinfo.com/cricketers/dinesh-karthik-30045,7,85.40714285714286,0,0,0.0,29.310344827586203,108,15.428571428571429
