batsmanName,inning_batted,Average_SR,Average_Boundary_Percentage,total_runs,batting_average
Tom Curran,4,188.715,53.7037037037037,83,20.75
Trent Boult,1,0.0,,0,0.0
Tushar Deshpande,2,127.775,35.0,21,10.5
Umesh Yadav,1,0.0,,0,0.0
Varun Aaron,2,25.0,0.0,1,0.5
Varun Chakravarthy,3,73.33333333333333,0.0,10,3.3333333333333335
Vijay Shankar,5,87.934,39.42307692307692,97,19.4
Virat Kohli (c),15,102.82533333333332,21.307264033005815,466,31.066666666666666
Washington Sundar,9,119.46111111111112,45.76492135315665,111,12.333333333333334
Wriddhiman Saha †,4,135.2125,54.33244916003537,214,53.5
Yashasvi Jaiswal,3,64.81333333333333,56.86274509803921,40,13.333333333333334
Yuzvendra Chahal,2,16.665,0.0,1,0.5
