Player,Batsman Link,Span,Mat,Inns,NO,Runs,HS,Ave,SR,100,50,0
Hazratullah Zazai,https://www.espncricinfo.com/cricketers/hazratullah-zazai-793457,2021-2021,5,5,-,92,44,18.40,113.58,-,-,1
RR Hendricks,https://www.espncricinfo.com/cricketers/reeza-hendricks-269280,2021-2021,4,4,-,56,39,14.00,101.81,-,-,-
SO Hetmyer,https://www.espncricinfo.com/cricketers/shimron-hetmyer-670025,2021-2021,5,5,1,127,81*,31.75,127.00,-,1,-
H Hiri,https://www.espncricinfo.com/cricketers/hiri-hiri-646175,2021-2021,1,1,-,8,8,8.00,53.33,-,-,-
JO Holder,https://www.espncricinfo.com/cricketers/jason-holder-391485,2021-2021,3,3,2,24,15*,24.00,218.18,-,-,-
AJ Hosein,https://www.espncricinfo.com/cricketers/akeal-hosein-530812,2021-2021,5,3,3,7,6*,0.00,50.00,-,-,-
Imad Wasim,https://www.espncricinfo.com/cricketers/imad-wasim-227758,2021-2021,6,1,-,11,11,11.00,91.66,-,-,-
Ishan Kishan,https://www.espncricinfo.com/cricketers/ishan-kishan-720471,2021-2021,1,1,-,4,4,4.00,50.00,-,-,-
RA Jadeja,https://www.espncricinfo.com/cricketers/ravindra-jadeja-234675,2021-2021,5,2,1,39,26*,39.00,121.87,-,-,-
Jatinder Singh,https://www.espncricinfo.com/cricketers/jatinder-singh-307756,2021-2021,3,3,1,113,73*,56.50,148.68,-,1,1
CJ Jordan,https://www.espncricinfo.com/cricketers/chris-jordan-288992,2021-2021,6,1,-,-,-,0.00,0.00,-,-,1
Kaleemullah,https://www.espncricinfo.com/cricketers/kaleemullah-1077307,2021-2021,2,1,-,5,5,5.00,100.00,-,-,-
Karim Janat,https://www.espncricinfo.com/cricketers/karim-janat-793467,2021-2021,5,3,1,59,42*,29.50,143.90,-,-,-
C Karunaratne,https://www.espncricinfo.com/cricketers/chamika-karunaratne-623695,2021-2021,8,5,2,19,9*,6.33,100.00,-,-,1
Khawar Ali,https://www.espncricinfo.com/cricketers/khawar-ali-585081,2021-2021,2,1,1,-,0*,0.00,0.00,-,-,-
H Klaasen,https://www.espncricinfo.com/cricketers/heinrich-klaasen-436757,2021-2021,2,1,-,13,13,13.00,100.00,-,-,-
FJ Klaassen,https://www.espncricinfo.com/cricketers/fred-klaassen-1104703,2021-2021,3,2,2,1,1*,0.00,16.66,-,-,-
V Kohli,https://www.espncricinfo.com/cricketers/virat-kohli-253802,2021-2021,5,3,1,68,57,34.00,100.00,-,1,-
B Kumar,https://www.espncricinfo.com/cricketers/bhuvneshwar-kumar-326016,2021-2021,1,1,1,5,5*,0.00,125.00,-,-,-
CBRLS Kumara,https://www.espncricinfo.com/cricketers/lahiru-kumara-784375,2021-2021,7,2,1,1,1*,1.00,33.33,-,-,1
MA Leask,https://www.espncricinfo.com/cricketers/michael-leask-414966,2021-2021,8,7,1,130,44,21.66,154.76,-,-,2
E Lewis,https://www.espncricinfo.com/cricketers/evin-lewis-431901,2021-2021,5,5,-,105,56,21.00,129.62,-,1,-
Litton Das,https://www.espncricinfo.com/cricketers/litton-das-536936,2021-2021,8,8,-,133,44,16.62,94.32,-,-,1
JB Little,https://www.espncricinfo.com/cricketers/josh-little-928067,2021-2021,3,1,-,1,1,1.00,33.33,-,-,-
LS Livingstone,https://www.espncricinfo.com/cricketers/liam-livingstone-403902,2021-2021,6,3,-,46,28,15.33,158.62,-,-,-
JN Loftie-Eaton,https://www.espncricinfo.com/cricketers/jan-nicol-loftie-eaton-1071473,2021-2021,8,5,1,29,14,7.25,80.55,-,-,1
OC McCoy,https://www.espncricinfo.com/cricketers/obed-mccoy-906783,2021-2021,1,1,-,-,-,0.00,0.00,-,-,1
