bowlerName,overs,maidens,runs,wickets,economy,dots,fours,sixes,wides,no_balls,match_id
Tim Southee,4,0,24,2,6.00,15,2,1,1,0,scorecard
Trent Boult,4,0,17,3,4.25,14,2,0,0,0,scorecard
Adam Milne,4,0,17,1,4.25,12,1,0,0,0,scorecard
James Neesham,4,0,24,1,6.00,9,2,0,0,0,scorecard
Mitchell Santner,2,0,27,0,13.50,1,1,2,1,0,scorecard
Ish Sodhi,2,0,13,1,6.50,3,1,0,1,0,scorecard
Mohammad Nabi,4,0,26,0,6.50,10,3,0,0,0,scorecard
Mujeeb Ur Rahman,4,0,31,1,7.75,9,4,0,1,0,scorecard
Naveen-ul-Haq,2,0,16,0,8.00,3,2,0,0,0,scorecard
Hamid Hassan,3,0,14,0,4.66,10,2,0,0,0,scorecard
Rashid Khan,4,0,27,1,6.75,5,2,0,1,0,scorecard
Gulbadin Naib,1.1,0,9,0,7.71,1,1,0,0,0,scorecard
Moeen Ali,4,0,27,1,6.75,8,3,0,1,0,scorecard
Chris Woakes,4,0,43,0,10.75,8,2,4,0,0,scorecard
Adil Rashid,4,0,32,1,8.00,4,2,1,0,0,scorecard
Chris Jordan,4,0,36,0,9.00,6,2,2,0,0,scorecard
Mark Wood,4,0,47,0,11.75,4,2,3,1,0,scorecard
Keshav Maharaj,3,0,23,0,7.66,8,3,0,1,1,scorecard
Anrich Nortje,4,0,34,1,8.50,11,5,1,0,0,scorecard
Kagiso Rabada,4,0,48,3,12.00,6,5,3,0,0,scorecard
Tabraiz Shamsi,4,0,24,2,6.00,13,1,1,0,0,scorecard
Aiden Markram,2,0,18,0,9.00,4,1,1,2,0,scorecard
Dwaine Pretorius,3,0,30,2,10.00,7,2,2,0,1,scorecard
Mitchell Starc,4,0,33,1,8.25,10,0,3,1,0,scorecard
Josh Hazlewood,4,0,39,4,9.75,8,5,1,1,0,scorecard
Pat Cummins,4,0,37,1,9.25,10,4,2,0,0,scorecard
Glenn Maxwell,1,0,6,0,6.00,3,1,0,0,0,scorecard
Mitchell Marsh,3,0,16,0,5.33,7,1,0,0,0,scorecard
Adam Zampa,4,0,20,1,5.00,11,2,0,1,0,scorecard
Akeal Hosein,4,0,29,1,7.25,9,1,2,0,0,scorecard
Roston Chase,1.2,0,17,0,12.75,3,3,0,0,1,scorecard
Jason Holder,2,0,26,0,13.00,4,4,1,1,0,scorecard
Dwayne Bravo,4,0,36,0,9.00,8,3,1,3,0,scorecard
Hayden Walsh,2,0,18,0,9.00,3,1,1,0,0,scorecard
Andre Russell,2,0,25,0,12.50,1,3,1,0,0,scorecard
Chris Gayle,1,0,7,1,7.00,3,0,0,2,0,scorecard
Jasprit Bumrah,3.4,1,10,2,2.72,17,0,1,0,0,scorecard
Varun Chakravarthy,3,0,15,0,5.00,10,2,0,0,0,scorecard
Ravichandran Ashwin,4,0,29,1,7.25,11,4,0,2,0,scorecard
Mohammed Shami,3,1,15,3,5.00,11,1,1,0,0,scorecard
Ravindra Jadeja,4,0,15,3,3.75,12,1,0,0,0,scorecard
Mark Watt,2,0,20,1,10.00,3,2,1,0,0,scorecard
Brad Wheal,2,0,32,1,16.00,2,5,1,1,0,scorecard
Alasdair Evans,1,0,16,0,16.00,1,2,1,0,0,scorecard
Safyaan Sharif,1,0,14,0,14.00,3,2,1,0,0,scorecard
Chris Greaves,0.3,0,7,0,14.00,1,0,1,0,0,scorecard
Bernard Scholtz,3,0,15,1,5.00,8,0,1,0,0,scorecard
Ruben Trumpelmann,3,0,25,0,8.33,8,3,1,0,0,scorecard
David Wiese,4,0,40,1,10.00,5,2,2,0,0,scorecard
JJ Smit,2,0,27,0,13.50,3,1,1,4,0,scorecard
Jan Nicol Loftie-Eaton,2,0,24,0,12.00,1,2,1,0,0,scorecard
Gerhard Erasmus,4,0,22,1,5.50,11,0,1,1,0,scorecard
Karl Birkenstock,2,0,9,0,4.50,3,0,0,0,0,scorecard
Tim Southee,4,0,15,2,3.75,15,2,0,0,0,scorecard
Trent Boult,4,0,20,2,5.00,12,1,0,3,0,scorecard
Adam Milne,4,0,25,0,6.25,14,3,1,0,0,scorecard
Mitchell Santner,4,0,20,1,5.00,12,2,0,0,0,scorecard
James Neesham,1,0,6,1,6.00,1,0,0,0,0,scorecard
Ish Sodhi,3,0,22,1,7.33,9,0,2,2,0,scorecard
Roston Chase,1,0,6,0,6.00,3,1,0,0,0,scorecard
Jason Holder,4,0,37,0,9.25,7,3,1,2,0,scorecard
Ravi Rampaul,4,0,37,0,9.25,8,2,1,1,0,scorecard
Andre Russell,4,0,33,2,8.25,8,5,0,0,0,scorecard
Akeal Hosein,2,0,22,0,11.00,0,3,0,0,0,scorecard
Dwayne Bravo,4,0,42,1,10.50,4,3,1,5,0,scorecard
Kieron Pollard,1,0,8,0,8.00,0,0,0,1,0,scorecard
Maheesh Theekshana,4,0,21,0,5.25,13,2,0,1,0,scorecard
Binura Fernando,2,0,24,2,12.00,6,4,1,0,1,scorecard
Dushmantha Chameera,4,0,41,1,10.25,9,5,2,0,0,scorecard
Chamika Karunaratne,4,0,43,2,10.75,11,6,2,2,0,scorecard
Dasun Shanaka,2,0,18,1,9.00,3,0,1,3,0,scorecard
Wanindu Hasaranga,4,0,19,2,4.75,10,1,0,0,0,scorecard
Mitchell Starc,4,0,21,2,5.25,15,3,0,2,0,scorecard
Josh Hazlewood,2,0,8,2,4.00,10,2,0,0,0,scorecard
Glenn Maxwell,2,0,6,1,3.00,7,0,0,1,0,scorecard
Pat Cummins,3,0,18,0,6.00,9,2,0,0,0,scorecard
Adam Zampa,4,0,19,5,4.75,14,0,1,1,0,scorecard
Taskin Ahmed,3.2,0,36,1,10.80,8,2,3,1,0,scorecard
Mustafizur Rahman,2,0,32,0,16.00,3,4,2,1,0,scorecard
Shoriful Islam,1,0,9,1,9.00,1,1,0,0,1,scorecard
Mohammad Nabi,1,0,7,0,7.00,2,1,0,0,0,scorecard
Sharafuddin Ashraf,2,0,25,0,12.50,1,3,1,0,0,scorecard
Naveen-ul-Haq,4,0,59,0,14.75,4,5,4,1,1,scorecard
Hamid Hassan,4,0,34,0,8.50,10,5,1,0,0,scorecard
Gulbadin Naib,4,0,39,1,9.75,5,3,2,0,0,scorecard
Rashid Khan,4,0,36,0,9.00,4,1,2,0,0,scorecard
Karim Janat,1,0,7,1,7.00,2,1,0,0,0,scorecard
Mohammed Shami,4,0,32,3,8.00,13,3,2,1,0,scorecard
Jasprit Bumrah,4,0,25,1,6.25,13,2,1,2,0,scorecard
Hardik Pandya,2,0,23,0,11.50,3,3,1,0,0,scorecard
Ravindra Jadeja,3,0,19,1,6.33,8,1,1,0,0,scorecard
Ravichandran Ashwin,4,0,14,2,3.50,12,0,0,1,0,scorecard
Shardul Thakur,3,0,31,0,10.33,2,1,2,0,0,scorecard
Brad Wheal,4,0,40,2,10.00,8,3,1,2,0,scorecard
Safyaan Sharif,4,0,28,2,7.00,13,0,2,3,0,scorecard
Alasdair Evans,4,0,48,0,12.00,6,3,3,4,0,scorecard
Mark Watt,4,0,13,1,3.25,12,0,0,1,0,scorecard
Chris Greaves,3,0,26,0,8.66,6,2,1,0,0,scorecard
Michael Leask,1,0,12,0,12.00,1,0,1,0,0,scorecard
Trent Boult,4,0,29,2,7.25,12,4,1,0,0,scorecard
Tim Southee,4,0,24,1,6.00,13,1,1,5,0,scorecard
Adam Milne,4,1,36,0,9.00,10,7,0,0,0,scorecard
Mitchell Santner,4,0,23,0,5.75,8,0,1,0,0,scorecard
Ish Sodhi,4,0,42,2,10.50,7,2,3,1,0,scorecard
Ruben Trumpelmann,4,1,36,0,9.00,11,5,1,0,0,scorecard
David Wiese,4,0,30,1,7.50,10,2,1,0,0,scorecard
JJ Smit,4,0,50,0,12.50,5,8,1,0,0,scorecard
Jan Frylinck,4,0,31,1,7.75,5,2,0,0,0,scorecard
Ben Shikongo,2,0,19,0,9.50,1,2,0,0,0,scorecard
Jan Nicol Loftie-Eaton,2,0,20,0,10.00,2,1,1,0,0,scorecard
Shaheen Shah Afridi,4,0,36,0,9.00,11,4,1,0,1,scorecard
Hasan Ali,4,0,22,1,5.50,12,2,0,0,0,scorecard
Imad Wasim,3,0,13,1,4.33,11,2,0,0,0,scorecard
Haris Rauf,4,0,25,1,6.25,14,0,2,1,0,scorecard
Shadab Khan,4,0,35,1,8.75,6,3,1,0,0,scorecard
Mohammad Hafeez,1,0,11,0,11.00,2,0,1,0,0,scorecard
Keshav Maharaj,4,0,23,0,5.75,9,2,0,0,0,scorecard
Kagiso Rabada,4,0,20,3,5.00,14,1,0,3,2,scorecard
Anrich Nortje,3.2,0,8,3,2.40,15,0,0,1,0,scorecard
Dwaine Pretorius,3,0,11,1,3.66,8,0,0,0,0,scorecard
Tabraiz Shamsi,4,0,21,2,5.25,13,1,1,0,0,scorecard
Taskin Ahmed,4,0,18,2,4.50,17,3,0,1,0,scorecard
Shoriful Islam,4,0,15,0,3.75,17,1,0,1,0,scorecard
Mahedi Hasan,2.3,0,19,1,7.60,5,3,0,0,0,scorecard
Nasum Ahmed,2,0,22,1,11.00,5,2,1,1,0,scorecard
Soumya Sarkar,1,0,7,0,7.00,2,1,0,0,0,scorecard
Dushmantha Chameera,4,0,43,1,10.75,8,3,2,1,0,scorecard
Wanindu Hasaranga,4,0,21,3,5.25,11,1,1,0,0,scorecard
Lahiru Kumara,4,0,44,0,11.00,9,3,3,2,0,scorecard
Maheesh Theekshana,4,0,13,0,3.25,13,0,0,2,0,scorecard
Chamika Karunaratne,2,0,17,0,8.50,4,1,1,0,0,scorecard
Dasun Shanaka,2,0,24,0,12.00,2,1,2,0,0,scorecard
Moeen Ali,3,0,15,2,5.00,10,2,0,0,0,scorecard
Chris Woakes,2.3,0,25,1,10.00,6,2,2,0,0,scorecard
Adil Rashid,4,0,19,2,4.75,12,1,0,0,0,scorecard
Chris Jordan,4,0,24,2,6.00,11,3,0,0,0,scorecard
Liam Livingstone,4,0,34,1,8.50,6,2,2,0,0,scorecard
Tymal Mills,1.3,0,19,0,12.66,2,2,1,1,0,scorecard
Trent Boult,4,0,20,3,5.00,13,3,0,0,0,scorecard
Tim Southee,4,0,26,1,6.50,11,2,1,0,0,scorecard
Mitchell Santner,4,0,15,0,3.75,11,0,0,0,0,scorecard
Adam Milne,4,0,30,1,7.50,10,3,1,1,0,scorecard
Ish Sodhi,4,0,17,2,4.25,9,0,0,1,0,scorecard
Varun Chakravarthy,4,0,23,0,5.75,9,2,0,0,0,scorecard
Jasprit Bumrah,4,0,19,2,4.75,15,1,0,3,0,scorecard
Ravindra Jadeja,2,0,23,0,11.50,4,3,1,0,0,scorecard
Mohammed Shami,1,0,11,0,11.00,1,0,1,1,0,scorecard
Shardul Thakur,1.3,0,17,0,11.33,3,2,1,0,0,scorecard
Hardik Pandya,2,0,17,0,8.50,2,2,0,1,0,scorecard
Ruben Trumpelmann,4,0,34,2,8.50,14,4,2,2,0,scorecard
JJ Smit,3,0,22,1,7.33,7,3,0,1,0,scorecard
David Wiese,4,0,33,0,8.25,9,4,1,0,0,scorecard
Jan Frylinck,3,0,34,0,11.33,6,3,2,2,0,scorecard
Jan Nicol Loftie-Eaton,4,0,21,2,5.25,11,0,1,1,0,scorecard
Bernard Scholtz,1,0,8,0,8.00,1,1,0,0,0,scorecard
Gerhard Erasmus,1,0,7,0,7.00,2,1,0,0,0,scorecard
Naveen-ul-Haq,4,0,26,3,6.50,10,3,0,0,0,scorecard
Mohammad Nabi,2,0,17,0,8.50,6,0,2,0,0,scorecard
Hamid Hassan,4,0,9,3,2.25,16,0,0,1,0,scorecard
Gulbadin Naib,4,1,19,2,4.75,12,1,0,1,0,scorecard
Karim Janat,2,0,11,0,5.50,5,1,0,1,0,scorecard
Rashid Khan,4,0,14,1,3.50,15,0,0,1,0,scorecard
Adil Rashid,4,0,19,1,4.75,12,2,0,0,0,scorecard
Chris Woakes,4,0,23,2,5.75,15,0,2,2,0,scorecard
Chris Jordan,4,0,17,3,4.25,12,1,0,0,0,scorecard
Liam Livingstone,4,0,15,1,3.75,10,0,0,0,0,scorecard
Tymal Mills,4,0,45,2,11.25,8,4,3,1,0,scorecard
Mitchell Starc,3,0,37,0,12.33,6,4,2,1,0,scorecard
Josh Hazlewood,2,0,18,0,9.00,3,2,0,0,0,scorecard
Pat Cummins,1,0,14,0,14.00,3,0,1,1,1,scorecard
Ashton Agar,2.4,0,15,1,5.62,7,0,1,1,0,scorecard
Adam Zampa,3,0,37,1,12.33,5,1,4,0,0,scorecard
Aiden Markram,2,0,8,0,4.00,4,0,0,0,0,scorecard
Kagiso Rabada,3,0,32,0,10.66,6,5,1,0,0,scorecard
Anrich Nortje,4,0,27,2,6.75,11,4,0,1,0,scorecard
Keshav Maharaj,4,0,34,0,8.50,5,0,3,0,0,scorecard
Tabraiz Shamsi,4,0,17,3,4.25,13,1,0,1,0,scorecard
Dwaine Pretorius,3,0,17,3,5.66,9,2,0,0,0,scorecard
Dushmantha Chameera,4,0,27,2,6.75,12,1,2,0,1,scorecard
Maheesh Theekshana,4,0,31,0,7.75,1,2,0,1,0,scorecard
Lahiru Kumara,3.5,0,35,0,9.13,6,2,2,0,0,scorecard
Chamika Karunaratne,3,0,23,0,7.66,5,1,0,1,0,scorecard
Wanindu Hasaranga,4,0,20,3,5.00,10,1,0,0,0,scorecard
Dasun Shanaka,1,0,7,0,7.00,1,0,0,0,0,scorecard
Shaheen Shah Afridi,4,0,22,1,5.50,12,2,0,3,1,scorecard
Imad Wasim,4,0,25,2,6.25,14,1,2,1,0,scorecard
Haris Rauf,4,0,37,1,9.25,9,5,1,1,0,scorecard
Hasan Ali,4,1,38,1,9.50,12,5,1,1,2,scorecard
Shadab Khan,4,0,22,1,5.50,15,2,1,0,0,scorecard
Mujeeb Ur Rahman,4,0,14,1,3.50,12,0,0,0,0,scorecard
Mohammad Nabi,4,0,36,1,9.00,7,3,1,0,1,scorecard
Naveen-ul-Haq,3,0,22,1,7.33,6,3,0,0,0,scorecard
Karim Janat,4,0,48,0,12.00,4,2,4,0,0,scorecard
Rashid Khan,4,0,26,2,6.50,9,1,1,1,0,scorecard
Mahedi Hasan,4,0,27,2,6.75,9,0,2,2,0,scorecard
Taskin Ahmed,4,0,17,0,4.25,13,1,0,0,0,scorecard
Mustafizur Rahman,4,0,43,2,10.75,8,3,3,2,0,scorecard
Shoriful Islam,4,0,20,2,5.00,11,1,0,1,0,scorecard
Shakib Al Hasan,4,0,28,0,7.00,7,0,2,2,0,scorecard
Ravi Rampaul,4,0,25,1,6.25,8,3,0,0,0,scorecard
Jason Holder,4,0,22,1,5.50,11,2,0,2,0,scorecard
Andre Russell,4,0,29,1,7.25,9,3,0,0,0,scorecard
Akeal Hosein,4,0,24,1,6.00,6,2,0,0,0,scorecard
Dwayne Bravo,4,0,36,1,9.00,8,2,1,2,0,scorecard
Mitchell Starc,4,0,27,2,6.75,11,2,1,1,0,scorecard
Josh Hazlewood,4,0,26,0,6.50,12,4,0,1,0,scorecard
Pat Cummins,4,0,34,2,8.50,10,5,0,2,1,scorecard
Glenn Maxwell,1,0,16,0,16.00,3,1,1,1,0,scorecard
Marcus Stoinis,3,0,35,0,11.66,3,4,1,1,0,scorecard
Adam Zampa,4,0,12,2,3.00,12,0,0,0,0,scorecard
Chamika Karunaratne,2,0,19,0,9.50,4,3,0,1,0,scorecard
Maheesh Theekshana,4,0,27,0,6.75,10,4,0,0,0,scorecard
Dushmantha Chameera,3,0,33,0,11.00,4,4,1,0,1,scorecard
Lahiru Kumara,3,0,48,0,16.00,1,6,2,0,0,scorecard
Wanindu Hasaranga,4,0,22,2,5.50,10,2,0,0,1,scorecard
Dasun Shanaka,1,0,6,1,6.00,2,0,0,1,0,scorecard
Ruben Trumpelmann,4,0,17,3,4.25,17,2,0,2,0,scorecard
Jan Frylinck,4,0,10,2,2.50,14,0,0,0,0,scorecard
JJ Smit,4,0,20,1,5.00,11,0,1,0,0,scorecard
David Wiese,4,0,22,1,5.50,11,2,0,2,0,scorecard
Bernard Scholtz,2,0,16,0,8.00,2,1,0,0,0,scorecard
Michael van Lingen,1,0,12,0,12.00,2,1,1,0,0,scorecard
Pikky Ya France,1,0,7,0,7.00,3,1,0,0,0,scorecard
Brad Wheal,4,0,14,1,3.50,14,1,0,0,0,scorecard
Josh Davey,2,0,15,0,7.50,5,2,0,0,0,scorecard
Safyaan Sharif,3.1,0,21,1,6.63,8,1,1,1,0,scorecard
Chris Greaves,4,0,22,1,5.50,13,1,1,0,0,scorecard
Mark Watt,4,0,22,1,5.50,12,0,1,1,0,scorecard
Michael Leask,2,0,12,2,6.00,6,0,1,0,0,scorecard
Moeen Ali,3,0,18,2,6.00,9,3,0,0,0,scorecard
Chris Woakes,4,0,12,1,3.00,14,0,0,0,0,scorecard
Adil Rashid,4,0,35,0,8.75,8,3,2,0,0,scorecard
Chris Jordan,2,0,15,0,7.50,4,1,0,3,0,scorecard
Tymal Mills,4,0,27,3,6.75,9,2,0,1,0,scorecard
Liam Livingstone,3,0,15,2,5.00,8,1,0,0,0,scorecard
Shakib Al Hasan,3,0,24,0,8.00,5,1,1,2,0,scorecard
Mustafizur Rahman,3,0,23,0,7.66,8,4,0,1,0,scorecard
Shoriful Islam,3.1,0,26,1,8.21,6,2,1,1,0,scorecard
Nasum Ahmed,3,0,26,1,8.66,5,2,1,0,0,scorecard
Mahedi Hasan,2,0,21,0,10.50,1,1,1,1,0,scorecard
Shaheen Shah Afridi,4,1,21,1,5.25,13,3,0,0,0,scorecard
Imad Wasim,4,0,24,1,6.00,11,2,1,0,0,scorecard
Hasan Ali,3,0,26,0,8.66,4,1,1,0,2,scorecard
Haris Rauf,4,0,22,4,5.50,10,2,0,0,0,scorecard
Shadab Khan,3,0,19,0,6.33,10,3,0,0,0,scorecard
Mohammad Hafeez,2,0,16,1,8.00,5,1,1,0,0,scorecard
Mitchell Santner,4,0,33,1,8.25,7,3,1,0,0,scorecard
Tim Southee,4,0,25,1,6.25,14,1,2,1,0,scorecard
Trent Boult,3.4,0,29,1,7.90,12,4,1,1,0,scorecard
James Neesham,3,0,18,0,6.00,7,0,1,0,0,scorecard
Ish Sodhi,4,0,28,2,7.00,10,2,1,2,0,scorecard
Aiden Markram,3,1,22,0,7.33,11,1,2,1,0,scorecard
Kagiso Rabada,4,0,27,1,6.75,11,2,1,1,1,scorecard
Anrich Nortje,4,0,14,1,3.50,14,1,0,0,0,scorecard
Keshav Maharaj,4,0,24,2,6.00,11,0,2,1,0,scorecard
Tabraiz Shamsi,3,0,37,0,12.33,4,2,3,1,0,scorecard
Dwaine Pretorius,2,0,17,3,8.50,5,3,0,0,0,scorecard
Akeal Hosein,4,0,27,1,6.75,9,1,1,1,0,scorecard
Ravi Rampaul,3,0,22,0,7.33,6,1,1,1,0,scorecard
Andre Russell,3.2,0,36,0,10.80,3,4,1,0,0,scorecard
Hayden Walsh,3,0,26,0,8.66,3,0,1,2,0,scorecard
Dwayne Bravo,4,0,23,0,5.75,11,3,0,1,0,scorecard
Kieron Pollard,1,0,9,0,9.00,2,0,1,0,0,scorecard
Brad Wheal,4,0,42,0,10.50,8,3,3,1,0,scorecard
Michael Leask,1,0,18,0,18.00,1,1,2,0,0,scorecard
Safyaan Sharif,4,0,33,2,8.25,10,2,2,1,0,scorecard
Josh Davey,4,0,41,1,10.25,3,3,1,1,0,scorecard
Mark Watt,4,0,23,1,5.75,15,2,1,2,0,scorecard
Chris Greaves,3,0,30,0,10.00,6,2,2,0,0,scorecard
Mohammad Nabi,1,0,11,0,11.00,3,1,1,0,0,scorecard
Mujeeb Ur Rahman,4,0,20,5,5.00,17,1,1,0,0,scorecard
Naveen-ul-Haq,2,0,12,1,6.00,8,2,0,1,0,scorecard
Rashid Khan,2.2,0,9,4,3.85,8,1,0,0,0,scorecard
Karim Janat,1,0,6,0,6.00,2,0,0,2,0,scorecard
Shaheen Shah Afridi,4,0,31,3,7.75,13,2,2,1,1,scorecard
Imad Wasim,2,0,10,0,5.00,5,1,0,0,0,scorecard
Hasan Ali,4,0,44,2,11.00,8,5,2,0,0,scorecard
Shadab Khan,4,0,22,1,5.50,9,1,0,1,0,scorecard
Mohammad Hafeez,2,0,12,0,6.00,3,1,0,0,0,scorecard
Haris Rauf,4,0,25,1,6.25,8,1,0,2,0,scorecard
Bhuvneshwar Kumar,3,0,25,0,8.33,7,1,1,3,0,scorecard
Mohammed Shami,3.5,0,43,0,11.21,5,6,1,0,0,scorecard
Jasprit Bumrah,3,0,22,0,7.33,7,2,0,0,0,scorecard
Varun Chakravarthy,4,0,33,0,8.25,6,1,2,1,0,scorecard
Ravindra Jadeja,4,0,28,0,7.00,8,2,1,0,0,scorecard
Chamika Karunaratne,3,0,12,1,4.00,8,0,0,0,0,scorecard
Binura Fernando,3,0,27,1,9.00,6,3,1,0,0,scorecard
Dushmantha Chameera,4,0,41,0,10.25,4,5,0,0,2,scorecard
Lahiru Kumara,4,0,29,1,7.25,10,4,0,0,1,scorecard
Charith Asalanka,1,0,14,0,14.00,1,3,0,0,0,scorecard
Wanindu Hasaranga,3,0,29,0,9.66,1,2,1,0,0,scorecard
Dasun Shanaka,2,0,14,0,7.00,3,1,0,1,0,scorecard
Nasum Ahmed,2.5,0,29,2,10.23,4,1,2,0,0,scorecard
Mahedi Hasan,4,0,30,0,7.50,8,2,1,2,0,scorecard
Mohammad Saifuddin,3,0,38,1,12.66,5,4,2,2,0,scorecard
Shakib Al Hasan,3,0,17,2,5.66,8,0,1,0,0,scorecard
Mustafizur Rahman,3,0,22,0,7.33,6,2,0,2,0,scorecard
Mahmudullah,2,0,21,0,10.50,2,0,2,1,0,scorecard
Afif Hossain,1,0,15,0,15.00,0,1,1,0,0,scorecard
Moeen Ali,4,1,17,2,4.25,18,2,1,0,0,scorecard
Chris Woakes,2,0,12,1,6.00,6,2,0,0,0,scorecard
Tymal Mills,4,0,17,2,4.25,14,1,0,3,0,scorecard
Chris Jordan,2,0,7,1,3.50,9,1,0,0,0,scorecard
Adil Rashid,2.2,0,2,4,0.85,12,0,0,0,0,scorecard
Akeal Hosein,4,0,24,2,6.00,9,1,1,0,0,scorecard
Ravi Rampaul,2,0,14,1,7.00,7,3,0,0,0,scorecard
Obed McCoy,2,0,12,0,6.00,5,1,0,0,1,scorecard
Kieron Pollard,0.2,0,6,0,18.00,0,1,0,0,0,scorecard
Mitchell Starc,4,0,32,2,8.00,11,3,1,0,0,scorecard
Glenn Maxwell,4,0,24,1,6.00,7,2,0,0,0,scorecard
Josh Hazlewood,4,1,19,2,4.75,15,1,1,1,0,scorecard
Pat Cummins,4,0,17,1,4.25,14,2,0,0,0,scorecard
Adam Zampa,4,0,21,2,5.25,10,1,0,0,0,scorecard
Kagiso Rabada,4,0,28,1,7.00,14,5,0,1,0,scorecard
Anrich Nortje,4,0,21,2,5.25,14,3,0,1,0,scorecard
Keshav Maharaj,4,0,23,1,5.75,6,1,0,0,0,scorecard
Tabraiz Shamsi,4,0,22,1,5.50,9,2,0,0,0,scorecard
Dwaine Pretorius,3.4,0,26,0,7.09,4,2,0,1,0,scorecard
Chamika Karunaratne,1,0,7,0,7.00,4,1,0,1,0,scorecard
Dushmantha Chameera,2,0,13,1,6.50,8,3,0,0,0,scorecard
Maheesh Theekshana,1,0,3,2,3.00,3,0,0,0,0,scorecard
Lahiru Kumara,3,1,7,3,2.33,16,0,1,0,0,scorecard
Wanindu Hasaranga,3,0,9,3,3.00,13,1,0,0,0,scorecard
