bowlerName,overs,maidens,runs,wickets,economy,dots,fours,sixes,wides,no_balls,match_id,inningbowled,avg_bowling_economy,bowling SR,avg_bowling_strike,bowling_avg,average_bowling_avg,dot_ball_percentage,average_dot_ball_%
Chamika Karunaratne,4.0,0,43,2,10.75,11,6,2,2,0,scorecard,8,7.42,12.0,15.98,21.5,16.0,45.83,42.72
Chamika Karunaratne,1.0,0,7,0,7.0,4,1,0,1,0,scorecard,8,7.42,0.0,15.98,0.0,16.0,66.67,42.72
Chamika Karunaratne,3.0,0,12,1,4.0,8,0,0,0,0,scorecard,8,7.42,18.0,15.98,12.0,16.0,44.44,42.72
Chamika Karunaratne,2.0,0,19,0,9.5,4,3,0,1,0,scorecard,8,7.42,0.0,15.98,0.0,16.0,33.33,42.72
Chamika Karunaratne,3.3,0,27,2,7.71,8,2,1,2,0,scorecard,8,7.42,9.9,15.98,13.5,16.0,40.4,42.72
Charith Asalanka,1.0,0,14,0,14.0,1,3,0,0,0,scorecard,1,14.0,0.0,0.0,0.0,0.0,16.67,16.67
Charles Amini,4.0,0,41,0,10.25,3,4,1,1,0,scorecard,3,8.79,0.0,0.0,0.0,0.0,12.5,19.44
Charles Amini,2.4,0,31,0,11.62,3,1,3,0,0,scorecard,3,8.79,0.0,0.0,0.0,0.0,20.83,19.44
Charles Amini,2.0,0,9,0,4.5,3,0,0,0,0,scorecard,3,8.79,0.0,0.0,0.0,0.0,25.0,19.44
Chris Gayle,1.0,0,7,1,7.0,3,0,0,2,0,scorecard,1,7.0,6.0,6.0,7.0,7.0,50.0,50.0
Chris Greaves,0.3,0,7,0,14.0,1,0,1,0,0,scorecard,8,8.76,0.0,15.75,0.0,21.0,55.56,38.37
Chris Greaves,4.0,0,22,1,5.5,13,1,1,0,0,scorecard,8,8.76,24.0,15.75,22.0,21.0,54.17,38.37
Chris Greaves,3.0,0,26,0,8.66,6,2,1,0,0,scorecard,8,8.76,0.0,15.75,0.0,21.0,33.33,38.37
Chris Greaves,4.0,0,43,2,10.75,8,2,3,1,0,scorecard,8,8.76,12.0,15.75,21.5,21.0,33.33,38.37
Chris Greaves,3.0,0,19,2,6.33,5,1,0,1,0,scorecard,8,8.76,9.0,15.75,9.5,21.0,27.78,38.37
Chris Greaves,3.0,0,31,1,10.33,5,3,1,1,0,scorecard,8,8.76,18.0,15.75,31.0,21.0,27.78,38.37
Chris Greaves,3.0,0,30,0,10.0,6,2,2,0,0,scorecard,8,8.76,0.0,15.75,0.0,21.0,33.33,38.37
Chris Greaves,2.0,0,9,0,4.5,5,0,0,0,1,scorecard,8,8.76,0.0,15.75,0.0,21.0,41.67,38.37
