Player,Bowler Link,Span,Mat,Inns,Balls,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,5,10,Ct,St
M Theekshana,https://www.espncricinfo.com/cricketers/maheesh-theekshana-1138316,2021-2021,7,7,150,-,137,8,3/17,17.12,5.48,18.7,-,-,1,-
R Trumpelmann,https://www.espncricinfo.com/cricketers/ruben-trumpelmann-698317,2021-2021,8,8,168,1,215,6,3/17,35.83,7.67,28.0,-,-,1,-
TP Ura,https://www.espncricinfo.com/cricketers/tony-ura-302845,2021-2021,2,-,0,-,-,-,-,0.00,-,-,-,-,-,-
A Vala,https://www.espncricinfo.com/cricketers/assad-vala-25056,2021-2021,3,2,24,-,37,2,2/26,18.50,9.25,12.0,-,-,-,-
LV van Beek,https://www.espncricinfo.com/cricketers/logan-van-beek-440522,2021-2021,2,2,42,-,53,-,-,0.00,7.57,-,-,-,1,-
HE van der Dussen,https://www.espncricinfo.com/cricketers/rassie-van-der-dussen-337790,2021-2021,5,-,0,-,-,-,-,0.00,-,-,-,-,3,-
T van der Gugten,https://www.espncricinfo.com/cricketers/timm-van-der-gugten-333782,2021-2021,1,1,18,-,32,1,1/32,32.00,10.66,18.0,-,-,-,-
RE van der Merwe,https://www.espncricinfo.com/cricketers/roelof-van-der-merwe-47850,2021-2021,3,2,36,-,57,-,-,0.00,9.50,-,-,-,1,-
M van Lingen,https://www.espncricinfo.com/cricketers/michael-van-lingen-833777,2021-2021,7,2,14,-,25,-,-,0.00,10.71,-,-,-,4,-
PA van Meekeren,https://www.espncricinfo.com/cricketers/paul-van-meekeren-348109,2021-2021,1,1,12,-,20,1,1/20,20.00,10.00,12.0,-,-,1,-
N Vanua,https://www.espncricinfo.com/cricketers/norman-vanua-524253,2021-2021,3,-,0,-,-,-,-,0.00,-,-,-,-,-,-
CV Varun,https://www.espncricinfo.com/cricketers/varun-chakravarthy-1108375,2021-2021,3,3,66,-,71,-,-,0.00,6.45,-,-,-,-,-
MS Wade,https://www.espncricinfo.com/cricketers/matthew-wade-230193,2021-2021,7,-,0,-,-,-,-,0.00,-,-,-,-,9,-
CD Wallace,https://www.espncricinfo.com/cricketers/craig-wallace-414971,2021-2021,1,-,0,-,-,-,-,0.00,-,-,-,-,-,-
HR Walsh,https://www.espncricinfo.com/cricketers/hayden-walsh-443263,2021-2021,2,2,30,-,44,-,-,0.00,8.80,-,-,-,-,-
DA Warner,https://www.espncricinfo.com/cricketers/david-warner-219889,2021-2021,7,-,0,-,-,-,-,0.00,-,-,-,-,3,-
MRJ Watt,https://www.espncricinfo.com/cricketers/mark-watt-659081,2021-2021,8,8,180,-,184,7,1/13,26.28,6.13,25.7,-,-,1,-
BTJ Wheal,https://www.espncricinfo.com/cricketers/brad-wheal-807535,2021-2021,8,8,162,-,237,8,3/24,29.62,8.77,20.2,-,-,4,-
B White,https://www.espncricinfo.com/cricketers/ben-white-928059,2021-2021,1,1,18,-,27,-,-,0.00,9.00,-,-,-,-,-
D Wiese,https://www.espncricinfo.com/cricketers/david-wiese-221140,2021-2021,8,8,168,-,208,6,2/22,34.66,7.42,28.0,-,-,-,-
CG Williams,https://www.espncricinfo.com/cricketers/craig-williams-316102,2021-2021,8,-,0,-,-,-,-,0.00,-,-,-,-,-,-
KS Williamson,https://www.espncricinfo.com/cricketers/kane-williamson-277906,2021-2021,7,-,0,-,-,-,-,0.00,-,-,-,-,2,-
CR Woakes,https://www.espncricinfo.com/cricketers/chris-woakes-247235,2021-2021,6,6,123,1,151,7,2/23,21.57,7.36,17.5,-,-,4,-
MA Wood,https://www.espncricinfo.com/cricketers/mark-wood-351588,2021-2021,2,2,48,-,81,-,-,0.00,10.12,-,-,-,-,-
SA Yadav,https://www.espncricinfo.com/cricketers/suryakumar-yadav-446507,2021-2021,4,-,0,-,-,-,-,0.00,-,-,-,-,-,-
HN Ya France,https://www.espncricinfo.com/cricketers/pikky-ya-france-308410,2021-2021,4,3,24,-,24,-,-,0.00,6.00,-,-,-,-,-
CA Young,https://www.espncricinfo.com/cricketers/craig-young-364343,2021-2021,2,2,45,-,57,-,-,0.00,7.60,-,-,-,1,-
A Zampa,https://www.espncricinfo.com/cricketers/adam-zampa-379504,2021-2021,7,7,162,-,157,13,5/19,12.07,5.81,12.4,1,-,-,-
Zeeshan Maqsood,https://www.espncricinfo.com/cricketers/zeeshan-maqsood-585083,2021-2021,3,3,54,-,56,5,4/20,11.20,6.22,10.8,-,-,1,-
