batsmanName,runs,balls,minutes,4s,6s,SR,player_link,match_id
Mayank Agarwal,16,17,29,2,0,94.11,https://www.espncricinfo.com/cricketers/mayank-agarwal-398438,scorecard
Abhishek Sharma,29,20,22,2,2,145.00,https://www.espncricinfo.com/cricketers/abhishek-sharma-1070183,scorecard
Aiden Markram,17,19,33,0,0,89.47,https://www.espncricinfo.com/cricketers/aiden-markram-600498,scorecard
Heinrich Klaasen †,24,13,14,1,2,184.61,https://www.espncricinfo.com/cricketers/heinrich-klaasen-436757,scorecard
Shahbaz Ahmed,22,20,28,1,1,110.00,https://www.espncricinfo.com/cricketers/shahbaz-ahmed-1159711,scorecard
Abdul Samad,29,14,28,3,1,207.14,https://www.espncricinfo.com/cricketers/abdul-samad-1175485,scorecard
Washington Sundar,0,1,1,0,0,0.00,https://www.espncricinfo.com/cricketers/washington-sundar-719715,scorecard
Pat Cummins (c),2,2,3,0,0,100.00,https://www.espncricinfo.com/cricketers/pat-cummins-489889,scorecard
Wriddhiman Saha †,25,13,18,1,2,192.30,https://www.espncricinfo.com/cricketers/wriddhiman-saha-279810,scorecard
Shubman Gill (c),36,28,39,2,1,128.57,https://www.espncricinfo.com/cricketers/shubman-gill-1070173,scorecard
Sai Sudharsan,45,36,49,4,1,125.00,https://www.espncricinfo.com/cricketers/sai-sudharsan-1151288,scorecard
David Miller,44,27,45,4,2,162.96,https://www.espncricinfo.com/cricketers/david-miller-321777,scorecard
Vijay Shankar,14,11,14,2,0,127.27,https://www.espncricinfo.com/cricketers/vijay-shankar-477021,scorecard
Quinton de Kock †,54,38,63,5,2,142.10,https://www.espncricinfo.com/cricketers/quinton-de-kock-379143,scorecard
KL Rahul,15,9,19,1,1,166.66,https://www.espncricinfo.com/cricketers/kl-rahul-422108,scorecard
Devdutt Padikkal,9,6,7,2,0,150.00,https://www.espncricinfo.com/cricketers/devdutt-padikkal-1119026,scorecard
Marcus Stoinis,19,12,14,0,2,158.33,https://www.espncricinfo.com/cricketers/marcus-stoinis-325012,scorecard
Nicholas Pooran (c),42,21,30,3,3,200.00,https://www.espncricinfo.com/cricketers/nicholas-pooran-604302,scorecard
Ayush Badoni,8,10,26,0,0,80.00,https://www.espncricinfo.com/cricketers/ayush-badoni-1151270,scorecard
Krunal Pandya,43,22,29,4,2,195.45,https://www.espncricinfo.com/cricketers/krunal-pandya-471342,scorecard
Ravi Bishnoi,0,1,1,0,0,0.00,https://www.espncricinfo.com/cricketers/ravi-bishnoi-1175441,scorecard
Mohsin Khan,2,1,4,0,0,200.00,https://www.espncricinfo.com/cricketers/mohsin-khan-1132005,scorecard
Naveen-ul-Haq,0,0,2,0,0,-,https://www.espncricinfo.com/cricketers/naveen-ul-haq-793447,scorecard
Shikhar Dhawan (c),70,50,-,7,3,140.00,https://www.espncricinfo.com/cricketers/shikhar-dhawan-28235,scorecard
Jonny Bairstow,42,29,-,3,3,144.82,https://www.espncricinfo.com/cricketers/jonny-bairstow-297433,scorecard
Prabhsimran Singh,19,7,-,1,2,271.42,https://www.espncricinfo.com/cricketers/prabhsimran-singh-1161024,scorecard
Jitesh Sharma †,6,9,-,1,0,66.66,https://www.espncricinfo.com/cricketers/jitesh-sharma-721867,scorecard
Liam Livingstone,28,17,-,2,2,164.70,https://www.espncricinfo.com/cricketers/liam-livingstone-403902,scorecard
Sam Curran,0,1,-,0,0,0.00,https://www.espncricinfo.com/cricketers/sam-curran-662973,scorecard
Shashank Singh,9,7,-,1,0,128.57,https://www.espncricinfo.com/cricketers/shashank-singh-377534,scorecard
Virat Kohli,83,59,89,4,4,140.67,https://www.espncricinfo.com/cricketers/virat-kohli-253802,scorecard
Faf du Plessis (c),8,6,10,0,1,133.33,https://www.espncricinfo.com/cricketers/faf-du-plessis-44828,scorecard
Cameron Green,33,21,25,4,2,157.14,https://www.espncricinfo.com/cricketers/cameron-green-1076713,scorecard
Glenn Maxwell,28,19,21,3,1,147.36,https://www.espncricinfo.com/cricketers/glenn-maxwell-325026,scorecard
Rajat Patidar,3,4,10,0,0,75.00,https://www.espncricinfo.com/cricketers/rajat-patidar-823703,scorecard
Anuj Rawat †,3,3,6,0,0,100.00,https://www.espncricinfo.com/cricketers/anuj-rawat-1123073,scorecard
