batsmanName,runs,balls,minutes,4s,6s,SR,inning_batted,Average_SR,boundaries,boundary_runs,boundary_percentage,Average_Boundary_Percentage,total_runs,batting_average
David Miller,4,14,18,0,0,28.57,8,83.45625,0,0,0.0,39.27167158981625,169,21.125
David Miller,43,28,40,4,2,153.57,8,83.45625,6,28,65.11627906976744,39.27167158981625,169,21.125
David Miller,21,17,37,1,1,123.52,8,83.45625,2,10,47.61904761904761,39.27167158981625,169,21.125
David Miller,0,1,1,0,0,0.0,8,83.45625,0,0,,39.27167158981625,169,21.125
David Miller,6,6,13,1,0,100.0,8,83.45625,1,4,66.66666666666666,39.27167158981625,169,21.125
David Miller,7,10,18,0,0,70.0,8,83.45625,0,0,0.0,39.27167158981625,169,21.125
David Warner,1,4,4,0,0,25.0,7,131.06714285714287,0,0,0.0,51.99821292813207,178,25.428571428571427
David Warner,53,35,52,5,3,151.42,7,131.06714285714287,8,38,71.69811320754717,51.99821292813207,178,25.428571428571427
David Warner,6,6,5,1,0,100.0,7,131.06714285714287,1,4,66.66666666666666,51.99821292813207,178,25.428571428571427
David Warner,20,8,7,3,1,250.0,7,131.06714285714287,4,18,90.0,51.99821292813207,178,25.428571428571427
David Warner,39,16,22,2,4,243.75,7,131.06714285714287,6,32,82.05128205128204,51.99821292813207,178,25.428571428571427
David Warner,56,51,91,6,1,109.8,7,131.06714285714287,7,30,53.57142857142857,51.99821292813207,178,25.428571428571427
David Warner,3,8,27,0,0,37.5,7,131.06714285714287,0,0,0.0,51.99821292813207,178,25.428571428571427
David Wiese,1,7,7,0,0,14.28,4,114.8675,0,0,0.0,45.8994708994709,51,12.75
David Wiese,14,13,14,0,1,107.69,4,114.8675,1,6,42.857142857142854,45.8994708994709,51,12.75
David Wiese,9,8,15,0,1,112.5,4,114.8675,1,6,66.66666666666666,45.8994708994709,51,12.75
David Wiese,27,12,17,2,2,225.0,4,114.8675,4,20,74.07407407407408,45.8994708994709,51,12.75
Devon Conway †,35,32,45,2,3,109.37,4,99.6325,5,26,74.28571428571429,49.253246753246756,70,17.5
Devon Conway †,8,10,16,1,0,80.0,4,99.6325,1,4,50.0,49.253246753246756,70,17.5
Devon Conway †,22,15,31,4,0,146.66,4,99.6325,4,16,72.72727272727273,49.253246753246756,70,17.5
Devon Conway †,5,8,13,0,0,62.5,4,99.6325,0,0,0.0,49.253246753246756,70,17.5
Dhananjaya de Silva,21,26,51,1,0,80.76,2,105.75999999999999,1,4,19.047619047619047,35.99439775910364,55,27.5
Dhananjaya de Silva,34,26,38,3,1,130.76,2,105.75999999999999,4,18,52.94117647058824,35.99439775910364,55,27.5
Dilon Heyliger,0,2,1,0,0,0.0,3,60.60333333333333,0,0,,22.22222222222222,10,3.3333333333333335
Dilon Heyliger,9,11,12,1,0,81.81,3,60.60333333333333,1,4,44.44444444444444,22.22222222222222,10,3.3333333333333335
Dilon Heyliger,1,1,4,0,0,100.0,3,60.60333333333333,0,0,0.0,22.22222222222222,10,3.3333333333333335
Dilpreet Bajwa,11,5,5,1,1,220.0,2,148.885,2,10,90.9090909090909,74.02597402597402,18,9.0
Dilpreet Bajwa,7,9,15,1,0,77.77,2,148.885,1,4,57.14285714285714,74.02597402597402,18,9.0
Dinesh Nakrani,4,13,24,0,0,30.76,4,26.44,0,0,0.0,33.33333333333333,10,2.5
Dinesh Nakrani,0,2,7,0,0,0.0,4,26.44,0,0,,33.33333333333333,10,2.5
Dinesh Nakrani,0,3,2,0,0,0.0,4,26.44,0,0,,33.33333333333333,10,2.5
Dinesh Nakrani,6,8,11,1,0,75.0,4,26.44,1,4,66.66666666666666,33.33333333333333,10,2.5
Dipendra Singh Airee,1,6,4,0,0,16.66,2,35.6,0,0,0.0,0.0,7,3.5
Dipendra Singh Airee,6,11,15,0,0,54.54,2,35.6,0,0,0.0,0.0,7,3.5
Fakhar Zaman,4,6,15,0,0,66.66,4,110.46249999999999,0,0,0.0,32.86713286713287,33,8.25
Fakhar Zaman,5,9,15,0,0,55.55,4,110.46249999999999,0,0,0.0,32.86713286713287,33,8.25
Fakhar Zaman,13,8,8,1,1,162.5,4,110.46249999999999,2,10,76.92307692307693,32.86713286713287,33,8.25
Fakhar Zaman,11,7,11,0,1,157.14,4,110.46249999999999,1,6,54.54545454545454,32.86713286713287,33,8.25
Fayyaz Butt,2,7,7,0,0,28.57,1,28.57,0,0,0.0,0.0,2,2.0
Fazalhaq Farooqi,0,2,3,0,0,0.0,3,166.66666666666666,0,0,,50.0,6,2.0
Fazalhaq Farooqi,4,1,11,1,0,400.0,3,166.66666666666666,1,4,100.0,50.0,6,2.0
Fazalhaq Farooqi,2,2,6,0,0,100.0,3,166.66666666666666,0,0,0.0,50.0,6,2.0
Finn Allen,9,17,24,1,0,52.94,4,41.495000000000005,1,4,44.44444444444444,56.837606837606835,35,8.75
Finn Allen,0,1,1,0,0,0.0,4,41.495000000000005,0,0,,56.837606837606835,35,8.75
Finn Allen,26,23,25,3,1,113.04,4,41.495000000000005,4,18,69.23076923076923,56.837606837606835,35,8.75
Finn Allen,0,2,3,0,0,0.0,4,41.495000000000005,0,0,,56.837606837606835,35,8.75
Frank Nsubuga,0,3,4,0,0,0.0,1,0.0,0,0,,,0,0.0
Fred Achelam,9,13,16,1,0,69.23,1,69.23,1,4,44.44444444444444,44.44444444444444,9,9.0
Gareth Delany,26,14,-,2,2,185.71,3,130.57000000000002,4,20,76.92307692307693,49.296939619520266,60,20.0
Gareth Delany,31,19,30,1,3,163.15,3,130.57000000000002,4,22,70.96774193548387,49.296939619520266,60,20.0
Gareth Delany,3,7,5,0,0,42.85,3,130.57000000000002,0,0,0.0,49.296939619520266,60,20.0
George Dockrell,30,23,47,2,1,130.43,3,100.14333333333333,3,14,46.666666666666664,39.7979797979798,44,14.666666666666666
George Dockrell,3,5,-,0,0,60.0,3,100.14333333333333,0,0,0.0,39.7979797979798,44,14.666666666666666
George Dockrell,11,10,11,2,0,110.0,3,100.14333333333333,2,8,72.72727272727273,39.7979797979798,44,14.666666666666666
George Munsey,7,15,21,0,0,46.66,4,134.01999999999998,0,0,0.0,55.156794425087114,124,31.0
George Munsey,35,23,40,2,3,152.17,4,134.01999999999998,5,26,74.28571428571429,55.156794425087114,124,31.0
George Munsey,41,20,35,2,4,205.0,4,134.01999999999998,6,32,78.04878048780488,55.156794425087114,124,31.0
George Munsey,41,31,46,4,2,132.25,4,134.01999999999998,6,28,68.29268292682927,55.156794425087114,124,31.0
Gerhard Erasmus (c),52,31,44,5,2,167.74,4,91.51,7,32,61.53846153846154,38.35470085470086,102,25.5
Gerhard Erasmus (c),1,3,5,0,0,33.33,4,91.51,0,0,0.0,38.35470085470086,102,25.5
Gerhard Erasmus (c),36,43,64,4,1,83.72,4,91.51,5,22,61.111111111111114,38.35470085470086,102,25.5
Gerhard Erasmus (c),13,16,19,1,0,81.25,4,91.51,1,4,30.76923076923077,38.35470085470086,102,25.5
Glenn Maxwell,20,12,15,2,1,166.66,6,132.23166666666665,3,14,70.0,66.28923618754126,132,22.0
Glenn Maxwell,0,1,1,0,0,0.0,6,132.23166666666665,0,0,,66.28923618754126,132,22.0
Glenn Maxwell,14,6,12,1,1,233.33,6,132.23166666666665,2,10,71.42857142857143,66.28923618754126,132,22.0
Glenn Maxwell,11,8,13,0,1,137.5,6,132.23166666666665,1,6,54.54545454545454,66.28923618754126,132,22.0
Glenn Maxwell,28,25,44,3,1,112.0,6,132.23166666666665,4,18,64.28571428571429,66.28923618754126,132,22.0
