Player,Batsman Link,Span,Mat,Inns,NO,Runs,HS,Ave,SR,100,50,0
SJ Baard,https://www.espncricinfo.com/cricketers/stephan-baard-437927,2022-2022,3,3,-,49,26,16.33,94.23,-,-,-
Babar Azam,https://www.espncricinfo.com/cricketers/babar-azam-348144,2022-2022,7,7,-,124,53,17.71,93.23,-,1,1
A Balbirnie,https://www.espncricinfo.com/cricketers/andy-balbirnie-303423,2022-2022,7,7,-,153,62,21.85,124.39,-,1,-
KNA Bandara,https://www.espncricinfo.com/cricketers/ashen-bandara-958691,2022-2022,1,-,-,-,-,0.00,0.00,-,-,-
Basil Hameed,https://www.espncricinfo.com/cricketers/basil-hameed-1209110,2022-2022,3,3,1,31,25*,15.50,129.16,-,-,-
T Bavuma,https://www.espncricinfo.com/cricketers/temba-bavuma-372116,2022-2022,5,5,1,70,36,17.50,112.90,-,-,-
RD Berrington,https://www.espncricinfo.com/cricketers/richie-berrington-25490,2022-2022,3,3,-,66,37,22.00,117.85,-,-,-
TA Boult,https://www.espncricinfo.com/cricketers/trent-boult-277912,2022-2022,5,-,-,-,-,0.00,0.00,-,-,-
HC Brook,https://www.espncricinfo.com/cricketers/harry-brook-911707,2022-2022,6,5,-,56,20,11.20,96.55,-,-,-
SSJ Brooks,https://www.espncricinfo.com/cricketers/shamarh-brooks-230555,2022-2022,2,2,-,4,4,2.00,33.33,-,-,1
RP Burl,https://www.espncricinfo.com/cricketers/ryan-burl-495964,2022-2022,8,7,3,101,35,25.25,104.12,-,-,-
JC Buttler,https://www.espncricinfo.com/cricketers/jos-buttler-308967,2022-2022,6,6,1,225,80*,45.00,144.23,-,2,1
C Campher,https://www.espncricinfo.com/cricketers/curtis-campher-595921,2022-2022,7,6,1,126,72*,25.20,163.63,-,1,1
RW Chakabva,https://www.espncricinfo.com/cricketers/regis-chakabva-293831,2022-2022,8,8,-,45,15,5.62,70.31,-,-,3
PVD Chameera,https://www.espncricinfo.com/cricketers/dushmantha-chameera-552152,2022-2022,2,2,1,9,8,9.00,56.25,-,-,-
MS Chapman,https://www.espncricinfo.com/cricketers/mark-chapman-438563,2022-2022,1,-,-,-,-,0.00,0.00,-,-,-
J Charles,https://www.espncricinfo.com/cricketers/johnson-charles-333066,2022-2022,2,2,-,69,45,34.50,127.77,-,-,-
TL Chatara,https://www.espncricinfo.com/cricketers/tendai-chatara-425639,2022-2022,7,3,1,13,6*,6.50,68.42,-,-,-
Chirag Suri,https://www.espncricinfo.com/cricketers/chirag-suri-534734,2022-2022,2,2,-,26,14,13.00,66.66,-,-,-
DP Conway,https://www.espncricinfo.com/cricketers/devon-conway-379140,2022-2022,5,5,1,145,92*,36.25,116.93,-,1,-
TLW Cooper,https://www.espncricinfo.com/cricketers/tom-cooper-219885,2022-2022,8,8,-,107,35,13.37,103.88,-,-,1
MH Cross,https://www.espncricinfo.com/cricketers/matthew-cross-417268,2022-2022,3,3,-,32,28,10.66,96.96,-,-,-
PJ Cummins,https://www.espncricinfo.com/cricketers/pat-cummins-489889,2022-2022,4,2,-,21,21,10.50,105.00,-,-,1
SM Curran,https://www.espncricinfo.com/cricketers/sam-curran-662973,2022-2022,6,2,1,12,6*,12.00,85.71,-,-,-
Darwish Rasooli,https://www.espncricinfo.com/cricketers/darwish-rasooli-819441,2022-2022,1,1,-,15,15,15.00,115.38,-,-,-
JH Davey,https://www.espncricinfo.com/cricketers/josh-davey-407265,2022-2022,3,1,1,4,4*,0.00,133.33,-,-,-
TH David,https://www.espncricinfo.com/cricketers/tim-david-892749,2022-2022,3,2,1,26,15*,26.00,144.44,-,-,-
Q de Kock,https://www.espncricinfo.com/cricketers/quinton-de-kock-379143,2022-2022,5,5,1,124,63,31.00,161.03,-,1,1
GJ Delany,https://www.espncricinfo.com/cricketers/gareth-delany-1099379,2022-2022,7,5,1,69,24,17.25,127.77,-,-,-
BFW de Leede,https://www.espncricinfo.com/cricketers/bas-de-leede-1036191,2022-2022,8,8,3,93,30*,18.60,79.48,-,-,1
DM de Silva,https://www.espncricinfo.com/cricketers/dhananjaya-de-silva-465793,2022-2022,8,8,1,177,66*,25.28,129.19,-,1,2
GH Dockrell,https://www.espncricinfo.com/cricketers/george-dockrell-348034,2022-2022,7,6,1,100,39*,20.00,120.48,-,-,2
Ebadot Hossain,https://www.espncricinfo.com/cricketers/ebadot-hossain-932355,2022-2022,1,-,-,-,-,0.00,0.00,-,-,-
SA Edwards,https://www.espncricinfo.com/cricketers/scott-edwards-1127317,2022-2022,8,8,2,91,21,15.16,87.50,-,-,-
MG Erasmus,https://www.espncricinfo.com/cricketers/gerhard-erasmus-519070,2022-2022,3,3,-,52,20,17.33,86.66,-,-,-
CR Ervine,https://www.espncricinfo.com/cricketers/craig-ervine-55412,2022-2022,7,7,-,112,58,16.00,89.60,-,1,-
B Evans,https://www.espncricinfo.com/cricketers/brad-evans-696127,2022-2022,2,2,-,21,19,10.50,123.52,-,-,-
Fahad Nawaz,https://www.espncricinfo.com/cricketers/fahad-nawaz-1126002,2022-2022,1,-,-,-,-,0.00,0.00,-,-,-
Fakhar Zaman,https://www.espncricinfo.com/cricketers/fakhar-zaman-512191,2022-2022,1,1,-,20,20,20.00,125.00,-,-,-
Fareed Ahmad,https://www.espncricinfo.com/cricketers/fareed-ahmad-568136,2022-2022,2,1,1,2,2*,0.00,50.00,-,-,-
Fazalhaq Farooqi,https://www.espncricinfo.com/cricketers/fazalhaq-farooqi-974175,2022-2022,3,1,-,-,-,0.00,0.00,-,-,1
LH Ferguson,https://www.espncricinfo.com/cricketers/lockie-ferguson-493773,2022-2022,5,-,-,-,-,0.00,0.00,-,-,-
B Fernando,https://www.espncricinfo.com/cricketers/binura-fernando-629080,2022-2022,3,-,-,-,-,0.00,0.00,-,-,-
AJ Finch,https://www.espncricinfo.com/cricketers/aaron-finch-5334,2022-2022,3,3,1,107,63,53.50,110.30,-,1,-
JN Frylinck,https://www.espncricinfo.com/cricketers/jan-frylinck-482478,2022-2022,3,3,-,101,44,33.66,108.60,-,-,-
BD Glover,https://www.espncricinfo.com/cricketers/brandon-glover-595419,2022-2022,3,-,-,-,-,0.00,0.00,-,-,-
CN Greaves,https://www.espncricinfo.com/cricketers/chris-greaves-873199,2022-2022,3,2,2,19,16*,0.00,105.55,-,-,-
C Green,https://www.espncricinfo.com/cricketers/cameron-green-1076713,2022-2022,1,1,-,3,3,3.00,150.00,-,-,-
ZE Green,https://www.espncricinfo.com/cricketers/zane-green-596664,2022-2022,3,1,-,2,2,2.00,66.66,-,-,-
Gulbadin Naib,https://www.espncricinfo.com/cricketers/gulbadin-naib-352048,2022-2022,2,2,-,51,39,25.50,137.83,-,-,-
MD Gunathilaka,https://www.espncricinfo.com/cricketers/danushka-gunathilaka-345821,2022-2022,1,1,-,-,-,0.00,0.00,-,-,1
Haider Ali,https://www.espncricinfo.com/cricketers/haider-ali-1168651,2022-2022,2,2,-,2,2,1.00,40.00,-,-,1
AD Hales,https://www.espncricinfo.com/cricketers/alex-hales-249866,2022-2022,6,6,1,212,86*,42.40,147.22,-,2,-
F Hand,https://www.espncricinfo.com/cricketers/fionn-hand-1099225,2022-2022,3,3,-,12,6,4.00,109.09,-,-,-
Haris Rauf,https://www.espncricinfo.com/cricketers/haris-rauf-1161606,2022-2022,7,3,2,10,6*,10.00,142.85,-,-,-
Hasan Mahmud,https://www.espncricinfo.com/cricketers/hasan-mahmud-926629,2022-2022,4,2,1,-,0*,0.00,0.00,-,-,1
JR Hazlewood,https://www.espncricinfo.com/cricketers/josh-hazlewood-288284,2022-2022,4,1,1,1,1*,0.00,100.00,-,-,-
Hazratullah Zazai,https://www.espncricinfo.com/cricketers/hazratullah-zazai-793457,2022-2022,1,1,-,7,7,7.00,41.17,-,-,-
JO Holder,https://www.espncricinfo.com/cricketers/jason-holder-391485,2022-2022,3,2,-,42,38,21.00,116.66,-,-,-
DJ Hooda,https://www.espncricinfo.com/cricketers/deepak-hooda-497121,2022-2022,1,1,-,-,-,0.00,0.00,-,-,1
AJ Hosein,https://www.espncricinfo.com/cricketers/akeal-hosein-530812,2022-2022,3,2,1,24,23*,24.00,126.31,-,-,-
Ibrahim Zadran,https://www.espncricinfo.com/cricketers/ibrahim-zadran-921509,2022-2022,3,3,-,80,32,26.66,96.38,-,-,-
Iftikhar Ahmed,https://www.espncricinfo.com/cricketers/iftikhar-ahmed-480603,2022-2022,7,7,2,114,51,22.80,122.58,-,2,1
MA Jones,https://www.espncricinfo.com/cricketers/michael-jones-1093091,2022-2022,3,3,-,110,86,36.66,142.85,-,1,-
LM Jongwe,https://www.espncricinfo.com/cricketers/luke-jongwe-541224,2022-2022,6,4,1,55,29,18.33,134.14,-,-,1
CJ Jordan,https://www.espncricinfo.com/cricketers/chris-jordan-288992,2022-2022,2,-,-,-,-,0.00,0.00,-,-,-
AS Joseph,https://www.espncricinfo.com/cricketers/alzarri-joseph-670031,2022-2022,3,1,-,-,-,0.00,0.00,-,-,1
Junaid Siddique,https://www.espncricinfo.com/cricketers/junaid-siddique-1203754,2022-2022,3,2,1,18,18,18.00,105.88,-,-,-
KD Karthik,https://www.espncricinfo.com/cricketers/dinesh-karthik-30045,2022-2022,4,3,-,14,7,4.66,63.63,-,-,-
C Karunaratne,https://www.espncricinfo.com/cricketers/chamika-karunaratne-623695,2022-2022,7,6,2,32,14*,8.00,84.21,-,-,1
Kashif Daud,https://www.espncricinfo.com/cricketers/kashif-daud-229225,2022-2022,2,2,-,15,15,7.50,83.33,-,-,1
BA King,https://www.espncricinfo.com/cricketers/brandon-king-670035,2022-2022,2,2,1,79,62*,79.00,125.39,-,1,-
H Klaasen,https://www.espncricinfo.com/cricketers/heinrich-klaasen-436757,2022-2022,2,2,-,36,21,18.00,133.33,-,-,-
FJ Klaassen,https://www.espncricinfo.com/cricketers/fred-klaassen-1104703,2022-2022,8,4,1,10,7*,3.33,90.90,-,-,2
V Kohli,https://www.espncricinfo.com/cricketers/virat-kohli-253802,2022-2022,6,6,3,296,82*,98.66,136.40,-,4,-
B Kumar,https://www.espncricinfo.com/cricketers/bhuvneshwar-kumar-326016,2022-2022,6,1,1,4,4*,0.00,66.66,-,-,-
CBRLS Kumara,https://www.espncricinfo.com/cricketers/lahiru-kumara-784375,2022-2022,6,1,-,4,4,4.00,80.00,-,-,-
D la Cock,https://www.espncricinfo.com/cricketers/divan-la-cock-1178065,2022-2022,2,2,-,9,9,4.50,81.81,-,-,1
MA Leask,https://www.espncricinfo.com/cricketers/michael-leask-414966,2022-2022,3,3,1,33,17*,16.50,117.85,-,-,-
E Lewis,https://www.espncricinfo.com/cricketers/evin-lewis-431901,2022-2022,3,3,-,42,15,14.00,85.71,-,-,-
JB Little,https://www.espncricinfo.com/cricketers/josh-little-928067,2022-2022,7,4,2,16,8*,8.00,76.19,-,-,1
Litton Das,https://www.espncricinfo.com/cricketers/litton-das-536936,2022-2022,5,5,-,127,60,25.40,142.69,-,1,-
LS Livingstone,https://www.espncricinfo.com/cricketers/liam-livingstone-403902,2022-2022,6,5,3,55,29*,27.50,125.00,-,-,-
JN Loftie-Eaton,https://www.espncricinfo.com/cricketers/jan-nicol-loftie-eaton-1071473,2022-2022,3,3,-,21,20,7.00,105.00,-,-,1
OC McCoy,https://www.espncricinfo.com/cricketers/obed-mccoy-906783,2022-2022,3,1,1,2,2*,0.00,66.66,-,-,-
CS MacLeod,https://www.espncricinfo.com/cricketers/calum-macleod-232435,2022-2022,3,3,-,48,25,16.00,111.62,-,-,1
W Madhevere,https://www.espncricinfo.com/cricketers/wessly-madhevere-938959,2022-2022,8,8,1,106,35*,15.14,127.71,-,-,2
KA Maharaj,https://www.espncricinfo.com/cricketers/keshav-maharaj-267724,2022-2022,4,1,-,13,13,13.00,108.33,-,-,-
DJ Malan,https://www.espncricinfo.com/cricketers/dawid-malan-236489,2022-2022,4,3,1,56,35,28.00,82.35,-,-,-
AK Markram,https://www.espncricinfo.com/cricketers/aiden-markram-600498,2022-2022,5,4,-,99,52,24.75,125.31,-,1,-
MR Marsh,https://www.espncricinfo.com/cricketers/mitchell-marsh-272450,2022-2022,4,4,-,106,45,26.50,130.86,-,-,-
WP Masakadza,https://www.espncricinfo.com/cricketers/wellington-masakadza-571703,2022-2022,1,1,-,1,1,1.00,14.28,-,-,-
GJ Maxwell,https://www.espncricinfo.com/cricketers/glenn-maxwell-325026,2022-2022,4,4,1,118,54*,39.33,161.64,-,1,-
KR Mayers,https://www.espncricinfo.com/cricketers/kyle-mayers-348056,2022-2022,3,3,-,34,20,11.33,113.33,-,-,-
BJ McCarthy,https://www.espncricinfo.com/cricketers/barry-mccarthy-348059,2022-2022,7,5,3,36,22*,18.00,109.09,-,-,-
Mehidy Hasan Miraz,https://www.espncricinfo.com/cricketers/mehidy-hasan-miraz-629063,2022-2022,1,1,-,11,11,11.00,84.61,-,-,-
KP Meiyappan,https://www.espncricinfo.com/cricketers/karthik-meiyappan-1058987,2022-2022,3,2,1,4,4,4.00,50.00,-,-,-
BKG Mendis,https://www.espncricinfo.com/cricketers/kusal-mendis-629074,2022-2022,8,8,1,223,79,31.85,142.94,-,2,-
DA Miller,https://www.espncricinfo.com/cricketers/david-miller-321777,2022-2022,4,3,2,78,59*,78.00,116.41,-,1,-
DJ Mitchell,https://www.espncricinfo.com/cricketers/daryl-mitchell-381743,2022-2022,4,4,2,109,53*,54.50,128.23,-,1,-
Mohammad Haris,https://www.espncricinfo.com/cricketers/mohammad-haris-1205559,2022-2022,4,4,-,97,31,24.25,144.77,-,-,-
Mohammad Nabi,https://www.espncricinfo.com/cricketers/mohammad-nabi-25913,2022-2022,3,3,-,17,13,5.66,113.33,-,-,-
Mohammad Nawaz,https://www.espncricinfo.com/cricketers/mohammad-nawaz-348148,2022-2022,7,5,-,68,28,13.60,106.25,-,-,-
Mohammad Rizwan,https://www.espncricinfo.com/cricketers/mohammad-rizwan-323389,2022-2022,7,7,-,175,57,25.00,109.37,-,1,-
Mohammad Wasim,https://www.espncricinfo.com/cricketers/mohammad-wasim-1185538,2022-2022,6,3,1,16,12*,8.00,72.72,-,-,1
Mohammed Shami,https://www.espncricinfo.com/cricketers/mohammed-shami-481896,2022-2022,6,1,-,-,-,0.00,0.00,-,-,1
Mosaddek Hossain,https://www.espncricinfo.com/cricketers/mosaddek-hossain-550133,2022-2022,5,5,1,38,20*,9.50,97.43,-,-,1
Muhammad Waseem,https://www.espncricinfo.com/cricketers/muhammad-waseem-1241277,2022-2022,3,3,-,93,50,31.00,101.08,-,1,-
Mujeeb Ur Rahman,https://www.espncricinfo.com/cricketers/mujeeb-ur-rahman-974109,2022-2022,3,2,-,1,1,0.50,33.33,-,-,1
HG Munsey,https://www.espncricinfo.com/cricketers/george-munsey-671805,2022-2022,3,3,1,121,66*,60.50,114.15,-,2,-
T Munyonga,https://www.espncricinfo.com/cricketers/tony-munyonga-1122853,2022-2022,2,2,-,7,5,3.50,70.00,-,-,-
Mustafizur Rahman,https://www.espncricinfo.com/cricketers/mustafizur-rahman-330902,2022-2022,5,2,2,9,9*,0.00,225.00,-,-,-
B Muzarabani,https://www.espncricinfo.com/cricketers/blessing-muzarabani-827051,2022-2022,8,4,3,2,1*,2.00,16.66,-,-,-
SJ Myburgh,https://www.espncricinfo.com/cricketers/stephan-myburgh-233712,2022-2022,3,3,-,51,37,17.00,106.25,-,-,-
Najibullah Zadran,https://www.espncricinfo.com/cricketers/najibullah-zadran-524049,2022-2022,3,3,-,31,18,10.33,106.89,-,-,1
Naseem Shah,https://www.espncricinfo.com/cricketers/naseem-shah-1158088,2022-2022,7,1,1,5,5*,0.00,166.66,-,-,-
Nasum Ahmed,https://www.espncricinfo.com/cricketers/nasum-ahmed-348049,2022-2022,1,1,-,7,7,7.00,116.66,-,-,-
Naveen-ul-Haq,https://www.espncricinfo.com/cricketers/naveen-ul-haq-793447,2022-2022,1,1,1,-,0*,0.00,0.00,-,-,-
Najmul Hossain Shanto,https://www.espncricinfo.com/cricketers/najmul-hossain-shanto-629058,2022-2022,5,5,-,180,71,36.00,114.64,-,2,-
JDS Neesham,https://www.espncricinfo.com/cricketers/james-neesham-355269,2022-2022,5,5,2,53,26*,17.66,143.24,-,-,1
R Ngarava,https://www.espncricinfo.com/cricketers/richard-ngarava-806241,2022-2022,8,5,1,21,9,5.25,105.00,-,-,-
L Ngidi,https://www.espncricinfo.com/cricketers/lungi-ngidi-542023,2022-2022,4,1,1,4,4*,0.00,400.00,-,-,-
P Nissanka,https://www.espncricinfo.com/cricketers/pathum-nissanka-1028655,2022-2022,7,7,-,214,74,30.57,109.18,-,2,1
A Nortje,https://www.espncricinfo.com/cricketers/anrich-nortje-481979,2022-2022,5,2,1,5,4*,5.00,83.33,-,-,-
Nurul Hasan,https://www.espncricinfo.com/cricketers/nurul-hasan-410765,2022-2022,5,5,1,41,25*,10.25,97.61,-,-,1
MP O'Dowd,https://www.espncricinfo.com/cricketers/max-o-dowd-643197,2022-2022,8,8,1,242,71*,34.57,112.55,-,2,-
HH Pandya,https://www.espncricinfo.com/cricketers/hardik-pandya-625371,2022-2022,6,5,-,128,63,25.60,131.95,-,1,-
RR Pant,https://www.espncricinfo.com/cricketers/rishabh-pant-931581,2022-2022,2,2,-,9,6,4.50,100.00,-,-,-
WD Parnell,https://www.espncricinfo.com/cricketers/wayne-parnell-265564,2022-2022,5,4,2,5,3,2.50,38.46,-,-,1
AR Patel,https://www.espncricinfo.com/cricketers/axar-patel-554691,2022-2022,5,3,1,9,7,4.50,100.00,-,-,-
GD Phillips,https://www.espncricinfo.com/cricketers/glenn-phillips-823509,2022-2022,5,5,-,201,104,40.20,158.26,1,1,-
N Pooran,https://www.espncricinfo.com/cricketers/nicholas-pooran-604302,2022-2022,3,3,-,25,13,8.33,86.20,-,-,-
R Powell,https://www.espncricinfo.com/cricketers/rovman-powell-820351,2022-2022,3,3,-,39,28,13.00,111.42,-,-,-
Pramod Madushan,https://www.espncricinfo.com/cricketers/pramod-madushan-826689,2022-2022,3,2,1,1,1*,1.00,100.00,-,-,1
TJG Pringle,https://www.espncricinfo.com/cricketers/tim-pringle-1193548,2022-2022,6,6,1,51,20,10.20,87.93,-,-,-
K Rabada,https://www.espncricinfo.com/cricketers/kagiso-rabada-550215,2022-2022,5,2,1,10,9*,10.00,100.00,-,-,-
Rahmanullah Gurbaz,https://www.espncricinfo.com/cricketers/rahmanullah-gurbaz-974087,2022-2022,3,3,-,68,30,22.66,136.00,-,-,-
KL Rahul,https://www.espncricinfo.com/cricketers/kl-rahul-422108,2022-2022,6,6,-,128,51,21.33,120.75,-,2,-
PBB Rajapaksa,https://www.espncricinfo.com/cricketers/bhanuka-rajapaksa-342619,2022-2022,8,7,-,125,34,17.85,119.04,-,-,-
CAK Rajitha,https://www.espncricinfo.com/cricketers/kasun-rajitha-499594,2022-2022,3,1,1,8,8*,0.00,38.09,-,-,-
AU Rashid,https://www.espncricinfo.com/cricketers/adil-rashid-244497,2022-2022,6,-,-,-,-,0.00,0.00,-,-,-
Rashid Khan,https://www.espncricinfo.com/cricketers/rashid-khan-793463,2022-2022,3,3,1,57,48*,28.50,178.12,-,-,1
KW Richardson,https://www.espncricinfo.com/cricketers/kane-richardson-272262,2022-2022,1,1,-,1,1,1.00,100.00,-,-,-
CP Rizwan,https://www.espncricinfo.com/cricketers/cp-rizwan-474760,2022-2022,3,3,1,45,43*,22.50,132.35,-,-,-
RR Rossouw,https://www.espncricinfo.com/cricketers/rilee-rossouw-318845,2022-2022,5,4,-,141,109,35.25,169.87,1,-,1
PD Salt,https://www.espncricinfo.com/cricketers/phil-salt-669365,2022-2022,2,1,-,10,10,10.00,111.11,-,-,-
MJ Santner,https://www.espncricinfo.com/cricketers/mitchell-santner-502714,2022-2022,5,3,2,27,16*,27.00,168.75,-,-,1
BM Scholtz,https://www.espncricinfo.com/cricketers/bernard-scholtz-330223,2022-2022,3,1,1,1,1*,0.00,100.00,-,-,-
Shadab Khan,https://www.espncricinfo.com/cricketers/shadab-khan-922943,2022-2022,7,6,2,98,52,24.50,168.96,-,1,-
Shaheen Shah Afridi,https://www.espncricinfo.com/cricketers/shaheen-shah-afridi-1072470,2022-2022,7,3,1,22,16,11.00,183.33,-,-,-
T Shamsi,https://www.espncricinfo.com/cricketers/tabraiz-shamsi-379145,2022-2022,2,1,1,1,1*,0.00,100.00,-,-,-
MD Shanaka,https://www.espncricinfo.com/cricketers/dasun-shanaka-437316,2022-2022,8,7,1,78,35,13.00,105.40,-,-,1
Shan Masood,https://www.espncricinfo.com/cricketers/shan-masood-233901,2022-2022,7,7,3,175,52*,43.75,118.24,-,1,-
Shakib Al Hasan,https://www.espncricinfo.com/cricketers/shakib-al-hasan-56143,2022-2022,5,5,-,44,23,8.80,95.65,-,-,1
A Sharafu,https://www.espncricinfo.com/cricketers/alishan-sharafu-1161038,2022-2022,1,1,-,4,4,4.00,100.00,-,-,-
SM Sharif,https://www.espncricinfo.com/cricketers/safyaan-sharif-414970,2022-2022,3,-,-,-,-,0.00,0.00,-,-,-
Shariz Ahmad,https://www.espncricinfo.com/cricketers/shariz-ahmad-1278252,2022-2022,2,2,1,25,16*,25.00,131.57,-,-,-
RG Sharma,https://www.espncricinfo.com/cricketers/rohit-sharma-34102,2022-2022,6,6,-,116,53,19.33,106.42,-,1,-
B Shikongo,https://www.espncricinfo.com/cricketers/ben-shikongo-1069820,2022-2022,3,-,-,-,-,0.00,0.00,-,-,-
Shoriful Islam,https://www.espncricinfo.com/cricketers/shoriful-islam-990039,2022-2022,1,-,-,-,-,0.00,0.00,-,-,-
M Shumba,https://www.espncricinfo.com/cricketers/milton-shumba-951781,2022-2022,7,7,1,65,18,10.83,79.26,-,-,-
Sikandar Raza,https://www.espncricinfo.com/cricketers/sikandar-raza-299572,2022-2022,8,8,-,219,82,27.37,147.97,-,1,2
Simi Singh,https://www.espncricinfo.com/cricketers/simi-singh-1005257,2022-2022,4,2,1,7,7*,7.00,77.77,-,-,1
JJ Smit,https://www.espncricinfo.com/cricketers/jj-smit-553821,2022-2022,3,3,2,39,31*,39.00,169.56,-,-,-
OF Smith,https://www.espncricinfo.com/cricketers/odean-smith-820691,2022-2022,3,3,2,25,19*,25.00,113.63,-,-,-
SPD Smith,https://www.espncricinfo.com/cricketers/steven-smith-267192,2022-2022,1,1,-,4,4,4.00,100.00,-,-,-
IS Sodhi,https://www.espncricinfo.com/cricketers/ish-sodhi-559066,2022-2022,5,2,1,7,6*,7.00,100.00,-,-,-
Soumya Sarkar,https://www.espncricinfo.com/cricketers/soumya-sarkar-436677,2022-2022,4,4,-,49,20,12.25,125.64,-,-,1
TG Southee,https://www.espncricinfo.com/cricketers/tim-southee-232364,2022-2022,5,2,2,5,4*,0.00,166.66,-,-,-
MA Starc,https://www.espncricinfo.com/cricketers/mitchell-starc-311592,2022-2022,3,1,-,4,4,4.00,57.14,-,-,-
PR Stirling,https://www.espncricinfo.com/cricketers/paul-stirling-303427,2022-2022,7,7,1,170,66*,28.33,133.85,-,1,1
MP Stoinis,https://www.espncricinfo.com/cricketers/marcus-stoinis-325012,2022-2022,4,4,1,126,59*,42.00,161.53,-,1,-
BA Stokes,https://www.espncricinfo.com/cricketers/ben-stokes-311158,2022-2022,6,5,2,110,52*,36.66,105.76,-,1,-
T Stubbs,https://www.espncricinfo.com/cricketers/tristan-stubbs-595978,2022-2022,4,3,-,31,18,10.33,100.00,-,-,-
Taskin Ahmed,https://www.espncricinfo.com/cricketers/taskin-ahmed-538506,2022-2022,5,4,1,23,12*,7.66,76.66,-,-,1
HT Tector,https://www.espncricinfo.com/cricketers/harry-tector-961407,2022-2022,7,6,-,68,45,11.33,90.66,-,-,1
M Theekshana,https://www.espncricinfo.com/cricketers/maheesh-theekshana-1138316,2022-2022,8,3,2,11,11*,11.00,78.57,-,-,1
R Trumpelmann,https://www.espncricinfo.com/cricketers/ruben-trumpelmann-698317,2022-2022,1,1,1,25,25*,0.00,104.16,-,-,-
LJ Tucker,https://www.espncricinfo.com/cricketers/lorcan-tucker-928057,2022-2022,7,7,2,204,71*,40.80,125.15,-,1,-
Usman Ghani,https://www.espncricinfo.com/cricketers/usman-ghani-711559,2022-2022,3,3,-,59,30,19.66,92.18,-,-,-
LV van Beek,https://www.espncricinfo.com/cricketers/logan-van-beek-440522,2022-2022,6,4,2,15,6*,7.50,65.21,-,-,-
T van der Gugten,https://www.espncricinfo.com/cricketers/timm-van-der-gugten-333782,2022-2022,2,1,-,-,-,0.00,0.00,-,-,1
RE van der Merwe,https://www.espncricinfo.com/cricketers/roelof-van-der-merwe-47850,2022-2022,6,4,2,5,5,2.50,41.66,-,-,1
M van Lingen,https://www.espncricinfo.com/cricketers/michael-van-lingen-833777,2022-2022,3,3,-,33,20,11.00,100.00,-,-,-
PA van Meekeren,https://www.espncricinfo.com/cricketers/paul-van-meekeren-348109,2022-2022,8,4,1,45,24,15.00,166.66,-,-,1
Vikramjit Singh,https://www.espncricinfo.com/cricketers/vikramjit-singh-1153767,2022-2022,5,5,-,57,39,11.40,91.93,-,-,1
MS Wade,https://www.espncricinfo.com/cricketers/matthew-wade-230193,2022-2022,4,3,1,15,7*,7.50,100.00,-,-,-
DA Warner,https://www.espncricinfo.com/cricketers/david-warner-219889,2022-2022,4,4,-,44,25,11.00,107.31,-,-,-
MRJ Watt,https://www.espncricinfo.com/cricketers/mark-watt-659081,2022-2022,3,-,-,-,-,0.00,0.00,-,-,-
