bowlerName,inningbowled,avg_bowling_economy,avg_bowling_strike,average_bowling_avg,average_dot_ball_%
Matt Henry,1,9.25,12.0,18.5,41.67
Mehran Khan,3,9.28,8.0,12.44,55.56
Michael Bracewell,1,9.0,0.0,0.0,33.33
Michael Leask,3,8.25,12.0,16.0,37.04
Milind Kumar,1,22.0,0.0,0.0,16.67
Mitchell Santner,4,6.48,15.4,16.0,55.21
Mitchell Starc,5,8.65,15.0,17.83,51.94
Moeen Ali,4,8.08,14.0,19.33,33.33
Mohammad Amir,4,4.5,15.0,12.12,66.67
Mohammad Nabi,7,7.5,9.0,4.5,44.25
Mohammed Siraj,3,5.11,18.0,13.0,56.48
Mujeeb Ur Rahman,1,5.33,18.0,16.0,72.22
Mustafizur Rahman,6,6.58,18.67,11.56,50.69
Nangeyalia Kharote,1,13.0,0.0,0.0,16.67
Naseem Shah,3,5.92,18.67,19.0,51.39
Nathan Ellis,3,6.5,18.0,20.0,46.3
Naveen-ul-Haq,8,5.47,12.46,16.36,61.0
Nikhil Dutta,1,15.37,14.4,41.0,34.72
Noor Ahmad,6,7.12,24.0,14.0,41.9
Norman Vanua,3,5.58,15.0,13.75,53.24
Nosthush Kenjige,4,9.41,8.0,10.0,23.61
Nuwan Thushara,3,5.68,10.27,10.17,52.23
Obed McCoy,3,9.17,6.0,4.67,42.93
Ottneil Baartman,5,5.15,16.0,12.92,60.28
Pargat Singh,1,15.0,0.0,0.0,0.0
Pat Cummins,5,7.47,11.5,11.62,42.22
Paul van Meekeren,4,6.02,14.0,18.0,49.31
Rachin Ravindra,1,3.0,9.0,4.5,66.67
Rashid Khan,8,6.34,11.2,9.53,45.83
Ravindra Jadeja,7,8.71,18.0,20.0,22.62
Reece Topley,6,6.57,18.0,27.0,49.07
Riazat Ali Shah,2,10.5,6.0,10.0,33.33
Rishad Hossain,6,8.37,11.0,15.33,40.74
Romario Shepherd,4,11.16,15.0,16.0,33.33
Roston Chase,5,5.12,10.67,9.78,44.44
Ruben Trumpelmann,4,9.81,12.0,18.92,38.54
Saad Bin Zafar,3,7.25,24.0,22.0,31.94
Safyaan Sharif,2,10.25,12.0,20.5,29.17
Sagar Dhakal,1,5.25,0.0,0.0,33.33
Sam Curran,5,9.7,9.0,18.25,37.78
Sandeep Lamichhane,1,4.5,0.0,0.0,45.83
Saurabh Netravalkar,6,7.28,12.0,9.5,45.28
Semo Kamea,2,6.5,18.0,19.5,50.0
Sese Bau,1,18.0,0.0,0.0,16.67
Shadab Khan,2,10.0,0.0,0.0,36.11
Shadley van Schalkwyk,4,10.27,0.0,0.0,21.92
Shaheen Shah Afridi,4,6.56,18.67,19.11,61.46
Shakeel Ahmed,3,8.39,0.0,0.0,46.3
Shakib Al Hasan,5,8.07,18.0,37.0,31.94
Shivam Dube,1,11.0,0.0,0.0,50.0
Sompal Kami,2,3.75,24.0,18.0,66.67
Steven Taylor,2,12.75,0.0,0.0,20.83
Tabraiz Shamsi,5,7.19,10.25,16.44,47.78
Tangeni Lungameni,2,8.75,18.0,39.0,40.28
Tanzim Hasan Sakib,6,7.36,15.5,17.25,49.31
Taskin Ahmed,5,7.6,15.0,12.25,53.89
Tim Pringle,4,7.73,16.67,24.56,33.33
Tim Southee,3,3.0,10.67,5.78,72.22
Trent Boult,4,3.69,11.0,6.71,65.62
Vikramjit Singh,1,11.0,0.0,0.0,0.0
Vivian Kingma,4,6.6,15.0,14.5,59.38
Wanindu Hasaranga,3,6.95,11.2,13.17,47.92
Will Jacks,1,22.0,0.0,0.0,16.67
Zeeshan Maqsood,3,9.67,0.0,0.0,22.22
