bowlerName,inningbowled,avg_bowling_economy,avg_bowling_strike,average_bowling_avg,average_dot_ball_%
Shaheen Shah Afridi,7,6.09,12.12,10.83,47.08
Shakib Al Hasan,5,8.9,17.25,25.0,24.44
Shariz Ahmad,2,7.0,18.0,27.0,30.56
Shoriful Islam,1,14.25,0.0,0.0,29.17
Sikandar Raza,8,6.88,16.67,18.28,27.78
Simi Singh,4,8.46,10.5,13.25,25.69
Soumya Sarkar,1,9.66,18.0,29.0,27.78
Tabraiz Shamsi,2,7.0,16.0,21.33,41.67
Taskin Ahmed,5,7.75,10.67,19.53,58.06
Tendai Chatara,7,8.48,12.0,9.0,36.9
Tim Pringle,6,6.68,18.0,12.67,34.95
Tim Southee,5,6.27,16.05,17.88,52.57
Timm van der Gugten,2,10.0,18.0,31.0,19.44
Trent Boult,5,7.4,10.0,10.58,46.67
Wanindu Hasaranga,8,6.77,13.71,12.76,38.54
Wayne Parnell,5,6.3,14.67,14.0,50.0
Wellington Masakadza,1,6.0,0.0,0.0,41.67
Wessly Madhevere,2,8.0,0.0,0.0,8.33
Zahoor Khan,3,4.75,16.0,11.33,54.17
Zawar Farid,1,8.47,0.0,0.0,13.33
