batsmanName,runs,balls,minutes,4s,6s,SR,match_id
Sikandar Raza,40,24,46,3,3,166.66,scorecard
Milton Shumba,2,3,6,0,0,66.66,scorecard
Ryan Burl,2,7,19,0,0,28.57,scorecard
Luke Jongwe,6,8,12,0,0,75.00,scorecard
Richard Ngarava,9,7,12,0,1,128.57,scorecard
Tendai Chatara,6,7,15,0,0,85.71,scorecard
Blessing Muzarabani,1,4,9,0,0,25.00,scorecard
Stephan Myburgh,8,7,15,0,1,114.28,scorecard
Max O'Dowd,52,47,70,8,1,110.63,scorecard
Tom Cooper,32,29,42,2,1,110.34,scorecard
Colin Ackermann,1,5,6,0,0,20.00,scorecard
Bas de Leede,12,12,21,2,0,100.00,scorecard
Scott Edwards (c)†,5,6,8,1,0,83.33,scorecard
Roelof van der Merwe,0,3,6,0,0,0.00,scorecard
Jos Buttler (c)†,73,47,82,7,2,155.31,scorecard
Alex Hales,52,40,46,7,1,130.00,scorecard
Moeen Ali,5,6,13,0,0,83.33,scorecard
Liam Livingstone,20,14,20,1,1,142.85,scorecard
Harry Brook,7,3,6,0,1,233.33,scorecard
Ben Stokes,8,7,11,0,0,114.28,scorecard
Sam Curran,6,3,7,0,1,200.00,scorecard
Dawid Malan,3,1,1,0,0,300.00,scorecard
Finn Allen,16,11,25,0,1,145.45,scorecard
Devon Conway †,3,9,12,0,0,33.33,scorecard
Kane Williamson (c),40,40,57,3,0,100.00,scorecard
Glenn Phillips,62,36,64,4,3,172.22,scorecard
James Neesham,6,3,7,1,0,200.00,scorecard
Daryl Mitchell,3,5,10,0,0,60.00,scorecard
Mitchell Santner,16,10,19,0,1,160.00,scorecard
Ish Sodhi,6,6,4,0,0,100.00,scorecard
Rahmanullah Gurbaz †,28,24,33,2,2,116.66,scorecard
Usman Ghani,27,27,54,2,1,100.00,scorecard
Ibrahim Zadran,22,18,35,1,1,122.22,scorecard
Najibullah Zadran,18,16,29,1,0,112.50,scorecard
Gulbadin Naib,12,14,25,0,0,85.71,scorecard
Mohammad Nabi (c),13,8,15,1,0,162.50,scorecard
Rashid Khan,9,8,10,1,0,112.50,scorecard
Azmatullah Omarzai,3,4,3,0,0,75.00,scorecard
Mujeeb Ur Rahman,1,2,1,0,0,50.00,scorecard
Pathum Nissanka,10,10,10,2,0,100.00,scorecard
Kusal Mendis †,25,27,33,2,1,92.59,scorecard
Dhananjaya de Silva,66,42,78,6,2,157.14,scorecard
Charith Asalanka,19,18,27,1,0,105.55,scorecard
Bhanuka Rajapaksa,18,14,24,3,0,128.57,scorecard
Dasun Shanaka (c),0,0,4,0,0,-,scorecard
David Warner,3,7,13,0,0,42.85,scorecard
Aaron Finch (c),63,44,87,5,3,143.18,scorecard
Mitchell Marsh,28,22,28,2,2,127.27,scorecard
Glenn Maxwell,13,9,18,0,1,144.44,scorecard
Marcus Stoinis,35,25,41,3,1,140.00,scorecard
Tim David,15,10,15,2,0,150.00,scorecard
Matthew Wade †,7,3,7,1,0,233.33,scorecard
Paul Stirling,11,7,11,1,1,157.14,scorecard
Andy Balbirnie (c),6,7,11,0,1,85.71,scorecard
Lorcan Tucker †,71,48,81,9,1,147.91,scorecard
Harry Tector,6,4,3,1,0,150.00,scorecard
Curtis Campher,0,1,5,0,0,0.00,scorecard
George Dockrell,0,4,4,0,0,0.00,scorecard
Gareth Delany,14,10,27,2,0,140.00,scorecard
Mark Adair,11,11,13,1,0,100.00,scorecard
Fionn Hand,6,6,10,1,0,100.00,scorecard
Barry McCarthy,3,7,16,0,0,42.85,scorecard
Josh Little,1,5,6,0,0,20.00,scorecard
KL Rahul,9,14,25,0,1,64.28,scorecard
Rohit Sharma (c),15,14,22,1,1,107.14,scorecard
Virat Kohli,12,11,13,2,0,109.09,scorecard
Suryakumar Yadav,68,40,68,6,3,170.00,scorecard
Deepak Hooda,0,3,4,0,0,0.00,scorecard
Hardik Pandya,2,3,6,0,0,66.66,scorecard
Dinesh Karthik †,6,15,33,0,0,40.00,scorecard
Ravichandran Ashwin,7,11,15,0,0,63.63,scorecard
Bhuvneshwar Kumar,4,6,9,0,0,66.66,scorecard
Mohammed Shami,0,2,5,0,0,0.00,scorecard
Arshdeep Singh,2,1,2,0,0,200.00,scorecard
Quinton de Kock †,1,3,7,0,0,33.33,scorecard
Temba Bavuma (c),10,15,30,0,1,66.66,scorecard
Rilee Rossouw,0,2,4,0,0,0.00,scorecard
Aiden Markram,52,41,72,6,1,126.82,scorecard
David Miller,59,46,78,4,3,128.26,scorecard
Tristan Stubbs,6,6,15,1,0,100.00,scorecard
Wayne Parnell,2,5,11,0,0,40.00,scorecard
Stephan Myburgh,6,11,13,1,0,54.54,scorecard
Max O'Dowd,8,13,41,0,0,61.53,scorecard
Bas de Leede,6,16,15,1,0,37.50,scorecard
Tom Cooper,1,2,4,0,0,50.00,scorecard
Colin Ackermann,27,27,40,2,0,100.00,scorecard
Scott Edwards (c)†,15,20,38,1,0,75.00,scorecard
Roelof van der Merwe,5,6,12,0,0,83.33,scorecard
Tim Pringle,5,8,15,0,0,62.50,scorecard
Logan van Beek,6,9,18,0,0,66.66,scorecard
Fred Klaassen,0,1,1,0,0,0.00,scorecard
Paul van Meekeren,7,7,8,0,0,100.00,scorecard
Mohammad Rizwan †,49,39,66,5,0,125.64,scorecard
Babar Azam (c),4,5,10,1,0,80.00,scorecard
Fakhar Zaman,20,16,27,3,0,125.00,scorecard
Shan Masood,12,16,35,0,0,75.00,scorecard
Iftikhar Ahmed,6,5,10,0,0,120.00,scorecard
Shadab Khan,4,2,2,1,0,200.00,scorecard
Najmul Hossain Shanto,71,55,77,7,1,129.09,scorecard
Soumya Sarkar,0,2,9,0,0,0.00,scorecard
Litton Das,14,12,22,3,0,116.66,scorecard
Shakib Al Hasan (c),23,20,32,1,0,115.00,scorecard
Afif Hossain,29,19,40,1,1,152.63,scorecard
Mosaddek Hossain,7,10,18,0,0,70.00,scorecard
Nurul Hasan †,1,1,5,0,0,100.00,scorecard
Yasir Ali,1,1,3,0,0,100.00,scorecard
Wessly Madhevere,4,3,1,1,0,133.33,scorecard
Craig Ervine (c),8,7,16,2,0,114.28,scorecard
Milton Shumba,8,15,24,1,0,53.33,scorecard
Sean Williams,64,42,75,8,0,152.38,scorecard
Sikandar Raza,0,3,4,0,0,0.00,scorecard
Regis Chakabva †,15,19,24,0,0,78.94,scorecard
Ryan Burl,27,25,50,2,1,108.00,scorecard
Brad Evans,2,2,5,0,0,100.00,scorecard
Richard Ngarava,6,3,6,0,1,200.00,scorecard
Blessing Muzarabani,0,2,6,0,0,0.00,scorecard
Finn Allen,1,3,3,0,0,33.33,scorecard
Devon Conway †,1,4,14,0,0,25.00,scorecard
Kane Williamson (c),8,13,18,1,0,61.53,scorecard
Glenn Phillips,104,64,87,10,4,162.50,scorecard
Daryl Mitchell,22,24,52,0,0,91.66,scorecard
James Neesham,5,8,15,0,0,62.50,scorecard
Mitchell Santner,11,5,17,0,1,220.00,scorecard
Ish Sodhi,1,1,3,0,0,100.00,scorecard
Tim Southee,4,1,1,1,0,400.00,scorecard
Pathum Nissanka,0,5,5,0,0,0.00,scorecard
Kusal Mendis †,4,3,9,1,0,133.33,scorecard
Dhananjaya de Silva,0,3,8,0,0,0.00,scorecard
Charith Asalanka,4,8,11,0,0,50.00,scorecard
Bhanuka Rajapaksa,34,22,38,3,2,154.54,scorecard
Chamika Karunaratne,3,8,13,0,0,37.50,scorecard
Dasun Shanaka (c),35,32,49,4,1,109.37,scorecard
Wanindu Hasaranga,4,6,6,1,0,66.66,scorecard
Maheesh Theekshana,0,3,5,0,0,0.00,scorecard
Kasun Rajitha,8,21,30,0,0,38.09,scorecard
Lahiru Kumara,4,5,10,1,0,80.00,scorecard
Wessly Madhevere,17,13,30,3,0,130.76,scorecard
Craig Ervine (c),19,19,26,2,0,100.00,scorecard
Milton Shumba,8,10,22,1,0,80.00,scorecard
Sean Williams,31,28,37,3,0,110.71,scorecard
Sikandar Raza,9,16,22,1,0,56.25,scorecard
Regis Chakabva †,0,1,2,0,0,0.00,scorecard
Ryan Burl,10,15,30,0,0,66.66,scorecard
Luke Jongwe,0,1,2,0,0,0.00,scorecard
Brad Evans,19,15,24,0,1,126.66,scorecard
Richard Ngarava,3,2,3,0,0,150.00,scorecard
Mohammad Rizwan †,14,16,23,1,1,87.50,scorecard
Babar Azam (c),4,9,17,1,0,44.44,scorecard
Shan Masood,44,38,61,3,0,115.78,scorecard
Iftikhar Ahmed,5,10,16,1,0,50.00,scorecard
Shadab Khan,17,14,27,0,1,121.42,scorecard
Haider Ali,0,1,3,0,0,0.00,scorecard
Mohammad Nawaz,22,18,36,1,1,122.22,scorecard
Mohammad Wasim,12,13,29,2,0,92.30,scorecard
Shaheen Shah Afridi,1,1,3,0,0,100.00,scorecard
KL Rahul,9,12,12,1,0,75.00,scorecard
Rohit Sharma (c),53,39,53,4,3,135.89,scorecard
Virat Kohli,62,44,79,3,2,140.90,scorecard
Suryakumar Yadav,51,25,38,7,1,204.00,scorecard
Vikramjit Singh,1,9,13,0,0,11.11,scorecard
Max O'Dowd,16,10,22,3,0,160.00,scorecard
Bas de Leede,16,23,27,0,0,69.56,scorecard
Colin Ackermann,17,21,31,1,0,80.95,scorecard
Tom Cooper,9,12,12,0,0,75.00,scorecard
Scott Edwards (c)†,5,8,21,0,0,62.50,scorecard
Tim Pringle,20,15,14,1,1,133.33,scorecard
Logan van Beek,3,5,11,0,0,60.00,scorecard
Shariz Ahmad,16,11,18,2,0,145.45,scorecard
Fred Klaassen,0,1,3,0,0,0.00,scorecard
Paul van Meekeren,14,6,9,3,0,233.33,scorecard
Temba Bavuma (c),2,6,6,0,0,33.33,scorecard
Quinton de Kock †,63,38,77,7,3,165.78,scorecard
Rilee Rossouw,109,56,90,7,8,194.64,scorecard
Tristan Stubbs,7,7,9,1,0,100.00,scorecard
Aiden Markram,10,11,16,1,0,90.90,scorecard
David Miller,2,4,8,0,0,50.00,scorecard
Wayne Parnell,0,2,2,0,0,0.00,scorecard
Najmul Hossain Shanto,9,9,15,1,0,100.00,scorecard
Soumya Sarkar,15,6,11,0,2,250.00,scorecard
Litton Das,34,31,57,1,1,109.67,scorecard
Shakib Al Hasan (c),1,4,11,0,0,25.00,scorecard
Afif Hossain,1,5,8,0,0,20.00,scorecard
Mehidy Hasan Miraz,11,13,17,0,0,84.61,scorecard
Mosaddek Hossain,0,3,4,0,0,0.00,scorecard
Nurul Hasan †,2,6,7,0,0,33.33,scorecard
Taskin Ahmed,10,17,22,1,0,58.82,scorecard
Hasan Mahmud,0,2,7,0,0,0.00,scorecard
Mustafizur Rahman,9,3,8,0,1,300.00,scorecard
Paul Stirling,14,8,16,1,1,175.00,scorecard
Andy Balbirnie (c),62,47,74,5,2,131.91,scorecard
Lorcan Tucker †,34,27,42,3,1,125.92,scorecard
Harry Tector,0,2,3,0,0,0.00,scorecard
Curtis Campher,18,11,22,3,0,163.63,scorecard
George Dockrell,0,1,2,0,0,0.00,scorecard
Gareth Delany,12,10,22,1,0,120.00,scorecard
Mark Adair,4,4,8,0,0,100.00,scorecard
Barry McCarthy,3,3,4,0,0,100.00,scorecard
Fionn Hand,1,2,4,0,0,50.00,scorecard
Josh Little,0,1,3,0,0,0.00,scorecard
Jos Buttler (c)†,0,2,3,0,0,0.00,scorecard
Alex Hales,7,5,14,1,0,140.00,scorecard
Dawid Malan,35,37,66,2,0,94.59,scorecard
Ben Stokes,6,8,14,0,0,75.00,scorecard
Harry Brook,18,21,30,1,0,85.71,scorecard
Moeen Ali,24,12,18,3,1,200.00,scorecard
Liam Livingstone,1,2,7,0,0,50.00,scorecard
Pathum Nissanka,40,45,65,2,0,88.88,scorecard
Kusal Mendis †,5,6,9,1,0,83.33,scorecard
Dhananjaya de Silva,26,23,47,3,0,113.04,scorecard
Charith Asalanka,38,25,45,3,2,152.00,scorecard
Bhanuka Rajapaksa,7,5,9,1,0,140.00,scorecard
Dasun Shanaka (c),3,5,6,0,0,60.00,scorecard
Wanindu Hasaranga,1,4,8,0,0,25.00,scorecard
Chamika Karunaratne,14,7,16,2,0,200.00,scorecard
David Warner,11,10,26,0,0,110.00,scorecard
Aaron Finch (c),31,42,89,0,1,73.80,scorecard
Mitchell Marsh,17,17,20,1,1,100.00,scorecard
Glenn Maxwell,23,12,21,2,2,191.66,scorecard
Marcus Stoinis,59,18,22,4,6,327.77,scorecard
Regis Chakabva †,8,8,13,0,1,100.00,scorecard
Craig Ervine (c),2,6,11,0,0,33.33,scorecard
Sean Williams,1,1,10,0,0,100.00,scorecard
Sikandar Raza,0,2,3,0,0,0.00,scorecard
Wessly Madhevere,35,18,37,4,1,194.44,scorecard
Milton Shumba,18,20,32,2,0,90.00,scorecard
Quinton de Kock †,47,18,26,8,1,261.11,scorecard
Temba Bavuma (c),2,2,26,0,0,100.00,scorecard
Najmul Hossain Shanto,25,20,31,4,0,125.00,scorecard
Soumya Sarkar,14,14,24,2,0,100.00,scorecard
Litton Das,9,11,17,0,0,81.81,scorecard
Shakib Al Hasan (c),7,9,14,0,0,77.77,scorecard
Afif Hossain,38,27,47,2,2,140.74,scorecard
Yasir Ali,3,5,9,0,0,60.00,scorecard
Nurul Hasan †,13,18,28,0,0,72.22,scorecard
Mosaddek Hossain,20,12,12,2,1,166.66,scorecard
Taskin Ahmed,0,1,3,0,0,0.00,scorecard
Hasan Mahmud,0,3,6,0,0,0.00,scorecard
Vikramjit Singh,0,1,4,0,0,0.00,scorecard
Max O'Dowd,8,8,21,0,1,100.00,scorecard
Bas de Leede,0,1,2,0,0,0.00,scorecard
Colin Ackermann,62,48,77,6,2,129.16,scorecard
Tom Cooper,0,0,2,0,0,-,scorecard
Scott Edwards (c)†,16,24,33,1,0,66.66,scorecard
Tim Pringle,1,6,5,0,0,16.66,scorecard
Logan van Beek,2,5,9,0,0,40.00,scorecard
Shariz Ahmad,9,8,9,1,0,112.50,scorecard
Fred Klaassen,7,6,20,0,0,116.66,scorecard
Paul van Meekeren,24,14,16,3,1,171.42,scorecard
Mohammad Rizwan †,4,12,25,1,0,33.33,scorecard
Babar Azam (c),0,1,10,0,0,0.00,scorecard
Shan Masood,52,42,101,5,0,123.80,scorecard
Iftikhar Ahmed,51,34,43,2,4,150.00,scorecard
Shadab Khan,5,6,6,1,0,83.33,scorecard
Haider Ali,2,4,6,0,0,50.00,scorecard
Mohammad Nawaz,9,6,12,2,0,150.00,scorecard
Asif Ali,2,3,6,0,0,66.66,scorecard
Shaheen Shah Afridi,16,8,17,1,1,200.00,scorecard
Haris Rauf,6,4,3,0,1,150.00,scorecard
KL Rahul,4,8,13,0,0,50.00,scorecard
Rohit Sharma (c),4,7,20,0,0,57.14,scorecard
Virat Kohli,82,53,98,6,4,154.71,scorecard
Suryakumar Yadav,15,10,11,2,0,150.00,scorecard
Axar Patel,2,3,7,0,0,66.66,scorecard
Hardik Pandya,40,37,61,1,2,108.10,scorecard
Dinesh Karthik †,1,2,10,0,0,50.00,scorecard
Ravichandran Ashwin,1,1,2,0,0,100.00,scorecard
Paul Stirling,34,25,45,4,1,136.00,scorecard
Andy Balbirnie (c),1,5,7,0,0,20.00,scorecard
Lorcan Tucker †,10,11,20,1,0,90.90,scorecard
Harry Tector,45,42,59,2,1,107.14,scorecard
Curtis Campher,2,4,6,0,0,50.00,scorecard
George Dockrell,14,16,25,0,0,87.50,scorecard
Gareth Delany,9,6,10,1,0,150.00,scorecard
Mark Adair,0,1,5,0,0,0.00,scorecard
Simi Singh,7,8,9,1,0,87.50,scorecard
Barry McCarthy,2,2,7,0,0,100.00,scorecard
Kusal Mendis †,68,43,68,5,3,158.13,scorecard
Dhananjaya de Silva,31,25,35,2,1,124.00,scorecard
Charith Asalanka,31,22,33,2,0,140.90,scorecard
Hazratullah Zazai,7,17,31,1,0,41.17,scorecard
Rahmanullah Gurbaz †,10,9,13,0,1,111.11,scorecard
Ibrahim Zadran,32,32,41,3,1,100.00,scorecard
Usman Ghani,30,30,60,3,0,100.00,scorecard
Najibullah Zadran,13,11,15,0,1,118.18,scorecard
Mohammad Nabi (c),3,5,7,0,0,60.00,scorecard
Azmatullah Omarzai,8,6,11,1,0,133.33,scorecard
Rashid Khan,0,1,2,0,0,0.00,scorecard
Mujeeb Ur Rahman,0,1,3,0,0,0.00,scorecard
Fareed Ahmad,2,4,7,0,0,50.00,scorecard
Fazalhaq Farooqi,0,2,3,0,0,0.00,scorecard
Jos Buttler (c)†,18,18,25,3,0,100.00,scorecard
Alex Hales,19,20,41,0,1,95.00,scorecard
Dawid Malan,18,30,40,0,0,60.00,scorecard
Ben Stokes,2,4,11,0,0,50.00,scorecard
Liam Livingstone,29,21,34,3,0,138.09,scorecard
Harry Brook,7,6,9,0,0,116.66,scorecard
Moeen Ali,8,10,13,0,0,80.00,scorecard
Finn Allen,42,16,24,5,3,262.50,scorecard
Devon Conway †,92,58,106,7,2,158.62,scorecard
Kane Williamson (c),23,23,48,1,1,100.00,scorecard
Glenn Phillips,12,10,16,2,0,120.00,scorecard
James Neesham,26,13,19,0,2,200.00,scorecard
David Warner,5,6,7,1,0,83.33,scorecard
Aaron Finch (c),13,11,20,1,1,118.18,scorecard
Mitchell Marsh,16,12,17,2,1,133.33,scorecard
Glenn Maxwell,28,20,47,3,1,140.00,scorecard
Marcus Stoinis,7,14,16,0,0,50.00,scorecard
