bowlerName,overs,maidens,runs,wickets,economy,dots,fours,sixes,wides,no_balls,match_id
Blessing Muzarabani,4,0,23,2,5.75,14,2,1,1,0,scorecard
Sean Williams,3,0,21,0,7.00,8,2,1,0,0,scorecard
Sikandar Raza,1,0,6,0,6.00,0,0,0,0,0,scorecard
Luke Jongwe,2,0,25,1,12.50,3,4,0,3,1,scorecard
Trent Boult,4,0,40,0,10.00,8,4,1,1,0,scorecard
Tim Southee,4,0,43,1,10.75,9,3,3,0,0,scorecard
Mitchell Santner,4,0,25,1,6.25,8,2,0,0,0,scorecard
Lockie Ferguson,4,0,45,2,11.25,6,4,2,0,1,scorecard
Ish Sodhi,4,0,23,1,5.75,10,2,0,0,0,scorecard
Moeen Ali,1,0,4,0,4.00,3,0,0,0,0,scorecard
Chris Woakes,4,0,33,2,8.25,9,1,2,1,0,scorecard
Adil Rashid,4,0,33,0,8.25,6,0,2,0,0,scorecard
Sam Curran,4,0,26,2,6.50,9,0,0,2,0,scorecard
Mark Wood,3,0,25,1,8.33,8,2,1,1,0,scorecard
Liam Livingstone,3,0,26,0,8.66,4,3,0,0,0,scorecard
Ben Stokes,1,0,10,1,10.00,2,2,0,0,0,scorecard
Kasun Rajitha,4,0,31,1,7.75,11,2,1,1,1,scorecard
Pramod Madushan,3,0,24,0,8.00,7,2,1,0,0,scorecard
Lahiru Kumara,4,0,30,2,7.50,12,2,1,4,0,scorecard
Maheesh Theekshana,4,0,33,0,8.25,5,1,1,1,0,scorecard
Wanindu Hasaranga,4,0,13,3,3.25,12,0,0,0,0,scorecard
Dhananjaya de Silva,1,0,9,1,9.00,1,1,0,0,0,scorecard
Fazalhaq Farooqi,3.3,1,22,0,6.28,11,3,0,1,0,scorecard
Mujeeb Ur Rahman,4,0,24,2,6.00,12,3,0,0,0,scorecard
Fareed Ahmad,2,0,25,0,12.50,3,3,1,1,0,scorecard
Rashid Khan,4,0,31,2,7.75,10,2,1,1,0,scorecard
Azmatullah Omarzai,2,0,17,0,8.50,2,1,0,1,0,scorecard
Mohammad Nabi,2,0,16,0,8.00,2,0,1,0,0,scorecard
Gulbadin Naib,1,0,12,0,12.00,1,2,0,0,0,scorecard
Josh Little,4,0,21,2,5.25,13,2,0,2,0,scorecard
Mark Adair,4,0,59,0,14.75,6,7,2,6,0,scorecard
Barry McCarthy,4,0,29,3,7.25,7,2,0,1,0,scorecard
Gareth Delany,3,0,29,0,9.66,10,2,2,2,0,scorecard
Fionn Hand,1,0,15,0,15.00,2,0,2,1,0,scorecard
George Dockrell,4,0,24,0,6.00,8,0,1,0,0,scorecard
Josh Hazlewood,3,0,24,0,8.00,8,1,2,1,0,scorecard
Pat Cummins,4,0,28,2,7.00,14,3,1,1,0,scorecard
