bowlerName,overs,maidens,runs,wickets,economy,dots,fours,sixes,wides,no_balls,inningbowled,avg_bowling_economy,bowling SR,avg_bowling_strike,bowling_avg,average_bowling_avg,dot_ball_percentage,average_dot_ball_%
Sean Williams,2.0,0,10,1,5.0,4,0,0,1,0,7,6.09,12.0,13.5,10.0,12.88,33.33,30.56
Sean Williams,2.0,0,9,2,4.5,6,0,0,2,0,7,6.09,6.0,13.5,4.5,12.88,50.0,30.56
Sean Williams,3.0,0,21,0,7.0,8,2,1,0,0,7,6.09,0.0,13.5,0.0,12.88,44.44,30.56
Sean Williams,3.0,0,20,1,6.66,3,0,0,0,0,7,6.09,18.0,13.5,20.0,12.88,16.67,30.56
Shadab Khan,4.0,0,20,1,5.0,10,1,0,0,0,7,6.46,24.0,11.6,20.0,11.6,41.67,38.1
Shadab Khan,4.0,0,30,2,7.5,8,3,0,0,0,7,6.46,12.0,11.6,15.0,11.6,33.33,38.1
Shadab Khan,4.0,0,21,0,5.25,10,2,0,0,0,7,6.46,0.0,11.6,0.0,11.6,41.67,38.1
Shadab Khan,4.0,0,22,3,5.5,11,2,0,0,0,7,6.46,8.0,11.6,7.33,11.6,45.83,38.1
Shadab Khan,2.0,0,16,2,8.0,5,1,1,0,0,7,6.46,6.0,11.6,8.0,11.6,41.67,38.1
Shadab Khan,4.0,0,33,0,8.25,7,3,1,0,0,7,6.46,0.0,11.6,0.0,11.6,29.17,38.1
Shadab Khan,4.0,0,23,3,5.75,8,1,0,0,0,7,6.46,8.0,11.6,7.67,11.6,33.33,38.1
Shaheen Shah Afridi,4.0,0,24,2,6.0,11,2,0,0,0,7,6.09,12.0,12.12,12.0,10.83,45.83,47.08
Shaheen Shah Afridi,4.0,0,22,4,5.5,13,2,1,0,0,7,6.09,6.0,12.12,5.5,10.83,54.17,47.08
Shaheen Shah Afridi,3.0,0,14,3,4.66,11,2,0,0,0,7,6.09,6.0,12.12,4.67,10.83,61.11,47.08
Shaheen Shah Afridi,4.0,0,19,1,4.75,13,1,0,1,0,7,6.09,24.0,12.12,19.0,10.83,54.17,47.08
Shaheen Shah Afridi,4.0,0,34,0,8.5,7,4,0,1,0,7,6.09,0.0,12.12,0.0,10.83,29.17,47.08
Shaheen Shah Afridi,4.0,0,29,0,7.25,9,3,0,0,0,7,6.09,0.0,12.12,0.0,10.83,37.5,47.08
Shaheen Shah Afridi,2.1,0,13,1,6.0,6,1,0,0,0,7,6.09,12.6,12.12,13.0,10.83,47.62,47.08
Shakib Al Hasan,4.0,0,32,1,8.0,6,0,2,1,0,5,8.9,24.0,17.25,32.0,25.0,25.0,24.44
Shakib Al Hasan,4.0,0,35,1,8.75,6,5,0,0,0,5,8.9,24.0,17.25,35.0,25.0,25.0,24.44
Shakib Al Hasan,3.0,0,33,2,11.0,7,1,3,0,1,5,8.9,9.0,17.25,16.5,25.0,38.89,24.44
Shakib Al Hasan,4.0,0,33,2,8.25,3,2,0,0,0,5,8.9,12.0,17.25,16.5,25.0,12.5,24.44
Shakib Al Hasan,4.0,0,34,0,8.5,5,3,0,0,0,5,8.9,0.0,17.25,0.0,25.0,20.83,24.44
Shariz Ahmad,1.0,0,5,0,5.0,2,0,0,0,0,2,7.0,0.0,18.0,0.0,27.0,33.33,30.56
Shariz Ahmad,3.0,0,27,1,9.0,5,1,2,0,0,2,7.0,18.0,18.0,27.0,27.0,27.78,30.56
Shoriful Islam,4.0,0,57,0,14.25,7,4,4,2,2,1,14.25,0.0,0.0,0.0,0.0,29.17,29.17
Sikandar Raza,4.0,0,25,3,6.25,13,2,1,2,0,8,6.88,8.0,16.67,8.33,18.28,54.17,27.78
Sikandar Raza,3.0,0,22,1,7.33,8,1,1,1,0,8,6.88,18.0,16.67,22.0,18.28,44.44,27.78
Sikandar Raza,4.0,0,19,3,4.75,7,0,0,0,0,8,6.88,8.0,16.67,6.33,18.28,29.17,27.78
Sikandar Raza,1.0,0,11,0,11.0,1,0,0,0,1,8,6.88,0.0,16.67,0.0,18.28,16.67,27.78
Sikandar Raza,4.0,0,35,1,8.75,2,2,1,0,0,8,6.88,24.0,16.67,35.0,18.28,8.33,27.78
Sikandar Raza,1.0,0,6,0,6.0,0,0,0,0,0,8,6.88,0.0,16.67,0.0,18.28,0.0,27.78
Sikandar Raza,4.0,0,20,1,5.0,10,0,0,2,0,8,6.88,24.0,16.67,20.0,18.28,41.67,27.78
Sikandar Raza,3.0,0,18,1,6.0,5,0,1,0,0,8,6.88,18.0,16.67,18.0,18.28,27.78,27.78
Simi Singh,2.0,0,20,0,10.0,3,0,2,0,0,4,8.46,0.0,10.5,0.0,13.25,25.0,25.69
Simi Singh,2.0,0,11,1,5.5,4,1,0,0,0,4,8.46,12.0,10.5,11.0,13.25,33.33,25.69
Simi Singh,3.0,0,31,2,10.33,5,2,2,1,0,4,8.46,9.0,10.5,15.5,13.25,27.78,25.69
Simi Singh,2.0,0,16,0,8.0,2,2,0,0,0,4,8.46,0.0,10.5,0.0,13.25,16.67,25.69
Soumya Sarkar,3.0,0,29,1,9.66,5,2,1,1,0,1,9.66,18.0,18.0,29.0,29.0,27.78,27.78
Tabraiz Shamsi,4.0,0,20,3,5.0,12,0,1,2,0,2,7.0,8.0,16.0,6.67,21.33,50.0,41.67
Tabraiz Shamsi,4.0,0,36,1,9.0,8,2,2,2,0,2,7.0,24.0,16.0,36.0,21.33,33.33,41.67
Taskin Ahmed,3.0,0,46,1,15.33,7,6,2,0,3,5,7.75,18.0,10.67,46.0,19.53,38.89,58.06
Taskin Ahmed,4.0,0,25,4,6.25,16,5,0,0,0,5,7.75,6.0,10.67,6.25,19.53,66.67,58.06
Taskin Ahmed,4.0,1,19,3,4.75,15,3,0,0,0,5,7.75,8.0,10.67,6.33,19.53,62.5,58.06
Taskin Ahmed,3.0,0,26,0,8.66,10,1,2,0,1,5,7.75,0.0,10.67,0.0,19.53,55.56,58.06
Taskin Ahmed,4.0,0,15,0,3.75,16,2,0,0,0,5,7.75,0.0,10.67,0.0,19.53,66.67,58.06
Tendai Chatara,4.0,0,22,0,5.5,14,4,0,0,0,7,8.48,0.0,12.0,0.0,9.0,58.33,36.9
Tendai Chatara,4.0,0,34,0,8.5,5,3,1,0,0,7,8.48,0.0,12.0,0.0,9.0,20.83,36.9
Tendai Chatara,1.0,0,23,0,23.0,0,4,1,0,0,7,8.48,0.0,12.0,0.0,9.0,0.0,36.9
Tendai Chatara,3.0,0,22,0,7.33,5,2,0,2,0,7,8.48,0.0,12.0,0.0,9.0,27.78,36.9
Tendai Chatara,4.0,0,22,2,5.5,13,1,1,2,0,7,8.48,12.0,12.0,11.0,9.0,54.17,36.9
Tendai Chatara,3.0,0,18,0,6.0,7,1,0,0,0,7,8.48,0.0,12.0,0.0,9.0,38.89,36.9
Tendai Chatara,4.0,1,14,2,3.5,14,1,0,0,0,7,8.48,12.0,12.0,7.0,9.0,58.33,36.9
Tim Pringle,4.0,0,30,0,7.5,6,3,0,0,0,6,6.68,0.0,18.0,0.0,12.67,25.0,34.95
Tim Pringle,2.0,0,10,1,5.0,4,0,0,0,0,6,6.68,12.0,18.0,10.0,12.67,33.33,34.95
Tim Pringle,3.0,0,22,0,7.33,8,0,2,0,0,6,6.68,0.0,18.0,0.0,12.67,44.44,34.95
Tim Pringle,4.0,0,13,1,3.25,11,0,0,0,0,6,6.68,24.0,18.0,13.0,12.67,45.83,34.95
Tim Pringle,3.0,0,15,1,5.0,8,0,0,0,0,6,6.68,18.0,18.0,15.0,12.67,44.44,34.95
Tim Pringle,1.0,0,12,0,12.0,1,2,0,0,0,6,6.68,0.0,18.0,0.0,12.67,16.67,34.95
Tim Southee,4.0,1,12,1,3.0,18,0,1,1,0,5,6.27,24.0,16.05,12.0,17.88,75.0,52.57
Tim Southee,4.0,0,43,1,10.75,9,3,3,0,0,5,6.27,24.0,16.05,43.0,17.88,37.5,52.57
Tim Southee,2.1,0,6,3,2.76,10,1,0,0,0,5,6.27,4.2,16.05,2.0,17.88,79.37,52.57
Tim Southee,4.0,0,29,2,7.25,8,2,1,0,0,5,6.27,12.0,16.05,14.5,17.88,33.33,52.57
Tim Southee,3.1,0,24,0,7.57,7,3,0,2,0,5,6.27,0.0,16.05,0.0,17.88,37.63,52.57
Timm van der Gugten,3.0,0,29,0,9.66,4,1,1,2,0,2,10.0,0.0,18.0,0.0,31.0,22.22,19.44
Timm van der Gugten,3.0,0,31,1,10.33,3,2,1,0,0,2,10.0,18.0,18.0,31.0,31.0,16.67,19.44
Trent Boult,4.0,0,24,2,6.0,13,2,1,1,0,5,7.4,12.0,10.0,12.0,10.58,54.17,46.67
Trent Boult,4.0,0,33,2,8.25,9,5,0,0,0,5,7.4,12.0,10.0,16.5,10.58,37.5,46.67
Trent Boult,4.0,0,38,0,9.5,8,4,1,0,0,5,7.4,0.0,10.0,0.0,10.58,33.33,46.67
Trent Boult,4.0,0,13,4,3.25,18,1,0,1,0,5,7.4,6.0,10.0,3.25,10.58,75.0,46.67
Trent Boult,4.0,0,40,0,10.0,8,4,1,1,0,5,7.4,0.0,10.0,0.0,10.58,33.33,46.67
Wanindu Hasaranga,4.0,0,22,1,5.5,9,1,0,0,0,8,6.77,24.0,13.71,22.0,12.76,37.5,38.54
Wanindu Hasaranga,4.0,0,13,3,3.25,12,0,0,0,0,8,6.77,8.0,13.71,4.33,12.76,50.0,38.54
Wanindu Hasaranga,4.0,0,27,1,6.75,8,1,1,0,0,8,6.77,24.0,13.71,27.0,12.76,33.33,38.54
Wanindu Hasaranga,4.0,0,28,3,7.0,11,3,0,0,0,8,6.77,8.0,13.71,9.33,12.76,45.83,38.54
Wanindu Hasaranga,4.0,1,8,3,2.0,17,0,0,0,0,8,6.77,8.0,13.71,2.67,12.76,70.83,38.54
Wanindu Hasaranga,4.0,0,23,2,5.75,11,1,1,0,0,8,6.77,12.0,13.71,11.5,12.76,45.83,38.54
Wanindu Hasaranga,4.0,0,25,2,6.25,6,0,1,0,0,8,6.77,12.0,13.71,12.5,12.76,25.0,38.54
Wanindu Hasaranga,3.0,0,53,0,17.66,0,3,5,0,0,8,6.77,0.0,13.71,0.0,12.76,0.0,38.54
Wayne Parnell,4.0,1,15,3,3.75,16,0,1,0,0,5,6.3,8.0,14.67,5.0,14.0,66.67,50.0
Wayne Parnell,2.0,0,18,0,9.0,3,0,1,1,0,5,6.3,0.0,14.67,0.0,14.0,25.0,50.0
Wayne Parnell,4.0,0,32,0,8.0,10,2,2,1,0,5,6.3,0.0,14.67,0.0,14.0,41.67,50.0
Wayne Parnell,2.0,0,6,1,3.0,9,1,0,0,0,5,6.3,12.0,14.67,6.0,14.0,75.0,50.0
Wayne Parnell,4.0,0,31,1,7.75,10,3,1,0,0,5,6.3,24.0,14.67,31.0,14.0,41.67,50.0
